id,_name,item_sub_type,grade,elemental_type,spine_resource_path
49900009,2022 Grand Finale,Title,3,Normal,
49900010,Championship 4 Ranker,Title,5,Normal,
49900011,Great Adventurer 1,Title,5,Normal,
49900012,Championship 6 Ranker,Title,5,Normal,
49900013,Great Adventurer 2,Title,5,Normal,
49900014,Great Adventurer 3,Title,5,Normal,
49900015,Great Adventurer 4,Title,5,Normal,
49900016,Hel's worrior,Title,5,Normal,
49900017,Rune Master,Title,5,Normal,
49900018,Ruby Guardian,Title,5,Normal,
49900019,Hot Summer,Title,5,Normal,
49900020,Bounty Hunter,Title,5,Normal,
49900021,Warrior of Odin,Title,5,Normal,
49900022,YGG Event,Title,5,Normal,
49900023,Hallow Winner,Title,5,Normal,
49900024,YGG Bravecat,Title,5,Normal,
49900025,Collection Master,Title,5,Normal,
49900026,Courage Master,Title,5,Normal,
49900027,mileage title 01,Title,6,Normal,
49900029,Ragnarok,Title,5,Normal,
49900030,Wish Maker,Title,5,Normal,
49900031,Happy Holy Day,Title,5,Normal,
49900032,Guardian of the Invasion,Title,5,Normal,
49900033,시즌패스 칭호 17,Title,5,Normal,
49900034,시즌패스 이벤트칭호,Title,5,Normal,
