id,result_equipment_id,material_id,material_count,required_action_point,required_gold,required_block_index,unlock_stage,sub_recipe_id,sub_recipe_id_2,sub_recipe_id_3,required_crystal,item_sub_type
64,10242000,303103,78,0,0,1,999,148,149,150,1188720,Armor
65,10243000,303103,78,0,0,1,999,151,152,153,1345500,Armor
66,10244000,303103,78,0,0,1,999,154,155,156,1345500,Armor
67,10240001,303103,82,0,0,1,999,415,416,417,1303800,Armor
68,10241001,303103,82,0,0,1,999,157,158,159,1414500,Armor
69,10242001,303103,83,0,0,1,999,160,161,162,1433100,Armor
70,10243001,303103,83,0,0,1,999,163,164,165,1433100,Armor
71,10244001,303103,84,0,0,1,999,166,167,168,1449000,Armor
72,10250000,303104,88,0,0,1,999,418,419,420,4039200,Armor
73,10251000,303104,88,0,0,1,999,169,170,171,4158000,Armor
74,10252000,303104,89,0,0,1,999,172,173,174,4206600,Armor
75,10253000,303104,90,0,0,1,999,175,176,177,4252500,Armor
76,10254000,303104,90,0,0,1,999,178,179,180,4441500,Armor
77,10250001,303104,111,0,0,1,999,421,422,423,5095800,Armor
78,10251001,303104,112,0,0,1,999,181,182,183,5292000,Armor
79,10252001,303104,113,0,0,1,999,184,185,186,5340600,Armor
80,10253001,303104,114,0,0,1,999,187,188,189,5625900,Armor
81,10254001,303104,115,0,0,1,999,190,191,192,5678700,Armor
82,10255000,303104,123,0,0,1,999,424,425,426,5646600,Armor
83,10310000,303200,2,0,0,1,9,427,428,429,1,Belt
84,10311000,303200,2,0,0,1,20,193,194,195,2,Belt
85,10312000,303200,4,0,0,1,25,196,197,198,5,Belt
86,10313000,303200,12,0,0,1,69,199,200,201,26,Belt
87,10314000,303200,18,0,0,1,134,202,203,204,954,Belt
88,10320000,303201,6,0,0,1,41,430,431,432,12,Belt
89,10321000,303201,6,0,0,1,43,205,206,207,15,Belt
90,10322000,303201,9,0,0,1,55,208,209,210,22,Belt
91,10323000,303201,22,0,0,1,162,211,212,213,2992,Belt
92,10324000,303201,45,0,0,1,203,214,215,216,122220,Belt
93,10330000,303202,10,0,0,1,87,433,434,435,330,Belt
94,10331000,303202,11,0,0,1,90,217,218,219,387,Belt
95,10332000,303202,14,0,0,1,111,220,221,222,4872,Belt
96,10333000,303202,58,0,0,1,216,223,224,225,203580,Belt
97,10334000,303202,126,0,0,1,999,226,227,228,737100,Belt
98,10340000,303203,26,0,0,1,186,436,437,438,49608,Belt
99,10341000,303203,28,0,0,1,194,229,230,231,57960,Belt
100,10342000,303203,76,0,0,1,240,232,233,234,1128600,Belt
101,10343000,303203,76,0,0,1,240,235,236,237,1128600,Belt
102,10344000,303203,76,0,0,1,240,238,239,240,1128600,Belt
103,10350000,303204,91,0,0,1,999,439,440,441,4177800,Belt
104,10351000,303204,92,0,0,1,999,241,242,243,4347000,Belt
105,10352000,303204,93,0,0,1,999,244,245,246,4395600,Belt
106,10353000,303204,94,0,0,1,999,247,248,249,4441500,Belt
107,10354000,303204,94,0,0,1,999,250,251,252,4638900,Belt
108,10410000,303300,2,0,0,1,15,442,443,444,1,Necklace
109,10411000,303300,2,0,0,1,21,253,254,255,2,Necklace
110,10412000,303300,4,0,0,1,31,256,257,258,5,Necklace
111,10413000,303300,15,0,0,1,84,259,260,261,32,Necklace
112,10414000,303300,20,0,0,1,150,262,263,264,1060,Necklace
113,10420000,303301,7,0,0,1,47,445,446,447,14,Necklace
114,10421000,303301,8,0,0,1,49,265,266,267,20,Necklace
115,10422000,303301,10,0,0,1,61,268,269,270,25,Necklace
116,10423000,303301,25,0,0,1,178,271,272,273,3472,Necklace
117,10424000,303301,43,0,0,1,202,274,275,276,116880,Necklace
118,10430000,303302,13,0,0,1,102,448,449,450,4320,Necklace
119,10431000,303302,13,0,0,1,105,277,278,279,4560,Necklace
120,10432000,303302,17,0,0,1,126,280,281,282,5952,Necklace
121,10433000,303302,55,0,0,1,212,283,284,285,195120,Necklace
122,10434000,303302,70,0,0,1,232,286,287,288,472500,Necklace
123,10440000,303303,77,0,0,1,249,451,452,453,729000,Necklace
124,10441000,303303,77,0,0,1,249,289,290,291,1528200,Necklace
125,10442000,303303,77,0,0,1,249,292,293,294,1528200,Necklace
126,10443000,303303,77,0,0,1,249,295,296,297,1528200,Necklace
127,10444000,303303,77,0,0,1,249,298,299,300,1528200,Necklace
128,10450000,303304,95,0,0,1,999,454,455,456,4361400,Necklace
129,10451000,303304,96,0,0,1,999,301,302,303,4536000,Necklace
130,10452000,303304,97,0,0,1,999,304,305,306,4584600,Necklace
131,10453000,303304,98,0,0,1,999,307,308,309,4630500,Necklace
132,10454000,303304,99,0,0,1,999,310,311,312,4889100,Necklace
133,10510000,303400,2,0,0,1,17,457,458,459,1,Ring
134,10511000,303400,2,0,0,1,22,313,314,315,2,Ring
135,10512000,303400,5,0,0,1,33,316,317,318,5,Ring
136,10513000,303400,17,0,0,1,96,319,320,321,38,Ring
137,10514000,303400,24,0,0,1,170,322,323,324,2544,Ring
138,10520000,303401,8,0,0,1,53,460,461,462,16,Ring
139,10521000,303401,9,0,0,1,57,325,326,327,22,Ring
140,10522000,303401,12,0,0,1,72,328,329,330,29,Ring
141,10523000,303401,28,0,0,1,198,331,332,333,3808,Ring
142,10524000,303401,49,0,0,1,205,334,335,336,132900,Ring
143,10530000,303402,15,0,0,1,117,463,464,465,4980,Ring
144,10531000,303402,16,0,0,1,120,337,338,339,5568,Ring
145,10532000,303402,19,0,0,1,142,340,341,342,6648,Ring
146,10533000,303402,64,0,0,1,224,343,344,345,748800,Ring
147,10534000,303402,76,0,0,1,243,346,347,348,889200,Ring
148,10540000,303403,80,0,0,1,999,466,467,468,1170000,Ring
149,10541000,303403,80,0,0,1,999,349,350,351,1160400,Ring
150,10542000,303403,81,0,0,1,999,352,353,354,1160760,Ring
151,10543000,303403,81,0,0,1,999,355,356,357,1340700,Ring
152,10544000,303403,81,0,0,1,999,358,359,360,1340700,Ring
153,10550000,303404,100,0,0,1,999,469,470,471,4590000,Ring
154,10551000,303404,101,0,0,1,999,361,362,363,4773600,Ring
155,10552000,303404,102,0,0,1,999,364,365,366,4819500,Ring
156,10553000,303404,103,0,0,1,999,367,368,369,4868100,Ring
157,10554000,303404,104,0,0,1,999,370,371,372,5132400,Ring
