event_dungeon_stage_id,wave,monster1_id,monster1_level,monster1_count,monster2_id,monster2_level,monster2_count,monster3_id,monster3_level,monster3_count,monster4_id,monster4_level,monster4_count,has_boss
10030018,2,201001,200,3,,,,,,,,,,0
10030018,3,201001,200,4,,,,,,,,,,0
10030019,1,201002,200,2,,,,,,,,,,0
10030019,2,201002,200,3,,,,,,,,,,0
10030019,3,201002,200,4,,,,,,,,,,0
10030020,1,201004,200,2,,,,,,,,,,0
10030020,2,201004,200,3,,,,,,,,,,0
10030020,3,201005,200,2,,,,,,,,,,1
10090001,1,201000,20,1,,,,,,,,,,0
10090001,2,201000,20,2,,,,,,,,,,0
10090001,3,201000,20,3,,,,,,,,,,0
10090002,1,201001,20,1,,,,,,,,,,0
10090002,2,201001,20,2,,,,,,,,,,0
10090002,3,201008,20,1,,,,,,,,,,0
10090003,1,201001,50,1,,,,,,,,,,0
10090003,2,201001,50,2,,,,,,,,,,0
10090003,3,201001,50,3,,,,,,,,,,0
10090004,1,201002,50,1,,,,,,,,,,0
10090004,2,201002,50,2,,,,,,,,,,0
10090004,3,201008,50,1,,,,,,,,,,0
10090005,1,201000,100,1,,,,,,,,,,0
10090005,2,201000,100,2,,,,,,,,,,0
10090005,3,201000,100,3,,,,,,,,,,0
10090006,1,201001,100,1,,,,,,,,,,0
10090006,2,201001,100,2,,,,,,,,,,0
10090006,3,201007,100,1,,,,,,,,,,1
10090007,1,201002,100,1,,,,,,,,,,0
10090007,2,201002,100,2,,,,,,,,,,0
10090007,3,201002,100,3,,,,,,,,,,0
10090008,1,201004,100,1,,,,,,,,,,0
10090008,2,201004,100,2,,,,,,,,,,0
10090008,3,201008,100,1,,,,,,,,,,0
10090009,1,201001,120,2,,,,,,,,,,0
10090009,2,201001,120,3,,,,,,,,,,0
10090009,3,201001,120,4,,,,,,,,,,0
10090010,1,201002,120,2,,,,,,,,,,0
10090010,2,201002,120,3,,,,,,,,,,0
10090010,3,201002,120,4,,,,,,,,,,0
10090011,1,201004,120,2,,,,,,,,,,0
10090011,2,201004,120,3,,,,,,,,,,0
10090011,3,201003,120,2,,,,,,,,,,0
10090012,1,201000,150,2,,,,,,,,,,0
10090012,2,201000,150,3,,,,,,,,,,0
10090012,3,201000,150,4,,,,,,,,,,0
10090013,1,201001,150,2,,,,,,,,,,0
10090013,2,201001,150,3,,,,,,,,,,0
10090013,3,201006,150,2,,,,,,,,,,1
10090014,1,201002,150,2,,,,,,,,,,0
10090014,2,201002,150,3,,,,,,,,,,0
10090014,3,201002,150,4,,,,,,,,,,0
10090015,1,201004,150,2,,,,,,,,,,0
10090015,2,201004,150,3,,,,,,,,,,0
10090015,3,201003,150,3,,,,,,,,,,0
10090016,1,201002,170,2,,,,,,,,,,0
10090016,2,201002,170,3,,,,,,,,,,0
10090016,3,201002,170,4,,,,,,,,,,0
10090017,1,201004,170,2,,,,,,,,,,0
10090017,2,201004,170,3,,,,,,,,,,0
10090017,3,201003,170,2,,,,,,,,,,0
10090018,1,201001,200,2,,,,,,,,,,0
10090018,2,201001,200,3,,,,,,,,,,0
10090018,3,201001,200,4,,,,,,,,,,0
10090019,1,201002,200,2,,,,,,,,,,0
10090019,2,201002,200,3,,,,,,,,,,0
10090019,3,201002,200,4,,,,,,,,,,0
10090020,1,201004,200,2,,,,,,,,,,0
10090020,2,201004,200,3,,,,,,,,,,0
10090020,3,201005,200,2,,,,,,,,,,1
10100001,1,201000,20,1,,,,,,,,,,0
10100001,2,201000,20,2,,,,,,,,,,0
10100001,3,201000,20,3,,,,,,,,,,0
10100002,1,201001,20,1,,,,,,,,,,0
10100002,2,201001,20,2,,,,,,,,,,0
10100002,3,201008,20,1,,,,,,,,,,0
10100003,1,201001,50,1,,,,,,,,,,0
10100003,2,201001,50,2,,,,,,,,,,0
10100003,3,201001,50,3,,,,,,,,,,0
10100004,1,201002,50,1,,,,,,,,,,0
10100004,2,201002,50,2,,,,,,,,,,0
10100004,3,201008,50,1,,,,,,,,,,0
10100005,1,201000,100,1,,,,,,,,,,0
10100005,2,201000,100,2,,,,,,,,,,0
10100005,3,201000,100,3,,,,,,,,,,0
10100006,1,201001,100,1,,,,,,,,,,0
10100006,2,201001,100,2,,,,,,,,,,0
10100006,3,201007,100,1,,,,,,,,,,1
10100007,1,201002,100,1,,,,,,,,,,0
10100007,2,201002,100,2,,,,,,,,,,0
10100007,3,201002,100,3,,,,,,,,,,0
10100008,1,201004,100,1,,,,,,,,,,0
10100008,2,201004,100,2,,,,,,,,,,0
10100008,3,201008,100,1,,,,,,,,,,0
10100009,1,201001,120,2,,,,,,,,,,0
10100009,2,201001,120,3,,,,,,,,,,0
10100009,3,201001,120,4,,,,,,,,,,0
10100010,1,201002,120,2,,,,,,,,,,0
10100010,2,201002,120,3,,,,,,,,,,0
10100010,3,201002,120,4,,,,,,,,,,0
10100011,1,201004,120,2,,,,,,,,,,0
10100011,2,201004,120,3,,,,,,,,,,0
10100011,3,201003,120,2,,,,,,,,,,0
10100012,1,201000,150,2,,,,,,,,,,0
10100012,2,201000,150,3,,,,,,,,,,0
10100012,3,201000,150,4,,,,,,,,,,0
10100013,1,201001,150,2,,,,,,,,,,0
10100013,2,201001,150,3,,,,,,,,,,0
10100013,3,201006,150,2,,,,,,,,,,1
10100014,1,201002,150,2,,,,,,,,,,0
10100014,2,201002,150,3,,,,,,,,,,0
10100014,3,201002,150,4,,,,,,,,,,0
10100015,1,201004,150,2,,,,,,,,,,0
10100015,2,201004,150,3,,,,,,,,,,0
10100015,3,201003,150,3,,,,,,,,,,0
10100016,1,201002,170,2,,,,,,,,,,0
10100016,2,201002,170,3,,,,,,,,,,0
10100016,3,201002,170,4,,,,,,,,,,0
10100017,1,201004,170,2,,,,,,,,,,0
10100017,2,201004,170,3,,,,,,,,,,0
10100017,3,201003,170,2,,,,,,,,,,0
10100018,1,201001,200,2,,,,,,,,,,0
10100018,2,201001,200,3,,,,,,,,,,0
10100018,3,201001,200,4,,,,,,,,,,0
10100019,1,201002,200,2,,,,,,,,,,0
10100019,2,201002,200,3,,,,,,,,,,0
10100019,3,201002,200,4,,,,,,,,,,0
10100020,1,201004,200,2,,,,,,,,,,0
10100020,2,201004,200,3,,,,,,,,,,0
10100020,3,201005,200,2,,,,,,,,,,1
10110001,1,201000,20,1,,,,,,,,,,0
10110001,2,201000,20,2,,,,,,,,,,0
10110001,3,201000,20,3,,,,,,,,,,0
10110002,1,201001,20,1,,,,,,,,,,0
10110002,2,201001,20,2,,,,,,,,,,0
10110002,3,201008,20,1,,,,,,,,,,0
10110003,1,201001,50,1,,,,,,,,,,0
10110003,2,201001,50,2,,,,,,,,,,0
10110003,3,201001,50,3,,,,,,,,,,0
10110004,1,201002,50,1,,,,,,,,,,0
10110004,2,201002,50,2,,,,,,,,,,0
10110004,3,201008,50,1,,,,,,,,,,0
10110005,1,201000,100,1,,,,,,,,,,0
10110005,2,201000,100,2,,,,,,,,,,0
10110005,3,201000,100,3,,,,,,,,,,0
10110006,1,201001,100,1,,,,,,,,,,0
10110006,2,201001,100,2,,,,,,,,,,0
10110006,3,201007,100,1,,,,,,,,,,1
10110007,1,201002,100,1,,,,,,,,,,0
10110007,2,201002,100,2,,,,,,,,,,0
10110007,3,201002,100,3,,,,,,,,,,0
10110008,1,201004,100,1,,,,,,,,,,0
10110008,2,201004,100,2,,,,,,,,,,0
10110008,3,201008,100,1,,,,,,,,,,0
10110009,1,201001,120,2,,,,,,,,,,0
10110009,2,201001,120,3,,,,,,,,,,0
10110009,3,201001,120,4,,,,,,,,,,0
10110010,1,201002,120,2,,,,,,,,,,0
10110010,2,201002,120,3,,,,,,,,,,0
10110010,3,201002,120,4,,,,,,,,,,0
10110011,1,201004,120,2,,,,,,,,,,0
10110011,2,201004,120,3,,,,,,,,,,0
10110011,3,201003,120,2,,,,,,,,,,0
10110012,1,201000,150,2,,,,,,,,,,0
10110012,2,201000,150,3,,,,,,,,,,0
10110012,3,201000,150,4,,,,,,,,,,0
10110013,1,201001,150,2,,,,,,,,,,0
10110013,2,201001,150,3,,,,,,,,,,0
10110013,3,201006,150,2,,,,,,,,,,1
10110014,1,201002,150,2,,,,,,,,,,0
10110014,2,201002,150,3,,,,,,,,,,0
10110014,3,201002,150,4,,,,,,,,,,0
10110015,1,201004,150,2,,,,,,,,,,0
10110015,2,201004,150,3,,,,,,,,,,0
10110015,3,201003,150,3,,,,,,,,,,0
10110016,1,201002,170,2,,,,,,,,,,0
10110016,2,201002,170,3,,,,,,,,,,0
10110016,3,201002,170,4,,,,,,,,,,0
10110017,1,201004,170,2,,,,,,,,,,0
10110017,2,201004,170,3,,,,,,,,,,0
10110017,3,201003,170,2,,,,,,,,,,0
10110018,1,201001,200,2,,,,,,,,,,0
10110018,2,201001,200,3,,,,,,,,,,0
10110018,3,201001,200,4,,,,,,,,,,0
10110019,1,201002,200,2,,,,,,,,,,0
10110019,2,201002,200,3,,,,,,,,,,0
10110019,3,201002,200,4,,,,,,,,,,0
10110020,1,201004,200,2,,,,,,,,,,0
10110020,2,201004,200,3,,,,,,,,,,0
10110020,3,201005,200,2,,,,,,,,,,1
10120001,1,201000,20,1,,,,,,,,,,0
10120001,2,201000,20,1,201002,20,1,,,,,,,0
10120001,3,201000,20,2,201002,20,1,,,,,,,0
10120002,1,201000,50,1,,,,,,,,,,0
10120002,2,201000,50,1,201002,50,1,,,,,,,0
10120002,3,201000,50,2,201005,50,1,,,,,,,1
10120003,1,202000,100,1,,,,,,,,,,0
10120003,2,202000,100,1,202001,100,1,,,,,,,0
10120003,3,202000,100,2,202001,100,1,,,,,,,0
10120004,1,202000,150,1,,,,,,,,,,0
10120004,2,202000,150,1,202001,150,1,,,,,,,0
10120004,3,202000,150,2,202007,150,1,,,,,,,1
10120005,1,203000,200,1,,,,,,,,,,0
10120005,2,203000,200,1,203003,200,1,,,,,,,0
10120005,3,203000,200,2,203003,200,1,,,,,,,0
10120006,1,203000,230,1,,,,,,,,,,0
10120006,2,203000,230,1,203003,230,1,,,,,,,0
10120006,3,203000,230,2,203007,230,1,,,,,,,1
10120007,1,205001,260,1,,,,,,,,,,0
10120007,2,205001,260,1,205003,260,1,,,,,,,0
10120007,3,205001,260,2,205003,260,1,,,,,,,0
10120008,1,205001,290,1,,,,,,,,,,0
10120008,2,205001,290,1,205003,290,1,,,,,,,0
10120008,3,205001,290,2,205007,290,1,,,,,,,1
10120009,1,206000,320,1,,,,,,,,,,0
10120009,2,206000,320,1,206006,320,1,,,,,,,0
10120009,3,206000,320,2,206006,320,1,,,,,,,0
10120010,1,206000,350,1,,,,,,,,,,0
10120010,2,206000,350,1,206006,350,1,,,,,,,0
10120010,3,206000,350,2,206007,350,1,,,,,,,1
10120011,1,207000,360,1,,,,,,,,,,0
10120011,2,207000,360,1,207004,360,1,,,,,,,0
10120011,3,207000,360,2,207004,360,1,,,,,,,0
10120012,1,207000,370,1,,,,,,,,,,0
10120012,2,207000,370,1,207004,370,1,,,,,,,0
10120012,3,207000,370,2,207007,370,1,,,,,,,1
10120013,1,208000,380,1,,,,,,,,,,0
10120013,2,208000,380,1,208006,380,1,,,,,,,0
10120013,3,208000,380,2,208006,380,1,,,,,,,0
10120014,1,208000,390,1,,,,,,,,,,0
10120014,2,208000,390,1,208006,390,1,,,,,,,0
10120014,3,208000,390,2,208007,390,1,,,,,,,1
10120015,1,209000,395,1,,,,,,,,,,0
10120015,2,209000,395,1,209003,395,1,,,,,,,0
10120015,3,209000,395,2,209003,395,1,,,,,,,0
10120016,1,209000,397,1,,,,,,,,,,0
10120016,2,209000,397,1,209006,397,1,,,,,,,0
10120016,3,209000,397,2,209006,397,1,,,,,,,1
10120017,1,209000,400,1,,,,,,,,,,0
10120017,2,209000,400,1,209004,400,1,,,,,,,0
10120017,3,209000,400,2,209004,400,1,,,,,,,0
10120018,1,209001,402,1,,,,,,,,,,0
10120018,2,209001,402,1,209004,402,1,,,,,,,0
10120018,3,209001,402,2,209007,402,1,,,,,,,0
10120019,1,209001,406,1,,,,,,,,,,0
10120019,2,209001,406,1,209005,406,1,,,,,,,0
10120019,3,209001,406,2,209005,406,1,,,,,,,0
10120020,1,209001,410,1,,,,,,,,,,0
10120020,2,209001,410,1,209006,410,1,,,,,,,0
10120020,3,209001,410,2,209007,410,2,,,,,,,1
