"id","item_sub_type","grade","level","cost","exp","required_block","base_stat_growth_min","base_stat_growth_max","extra_stat_growth_min","extra_stat_growth_max","extra_skill_damage_growth_min","extra_skill_damage_growth_max","extra_skill_chance_growth_min","extra_skill_chance_growth_max"
"47","Weapon","3","5","20","124000","1550","800","1200","0","0","0","0","0","0"
"48","Weapon","3","6","40","252000","3150","800","1200","0","0","900","900","800","800"
"49","Weapon","3","7","80","508000","6350","800","1200","2500","3500","0","0","0","0"
"50","Weapon","3","8","160","1020000","12750","800","1200","600","1000","0","0","0","0"
"51","Weapon","3","9","320","2044000","25550","800","1200","600","1000","900","900","800","800"
"52","Weapon","3","10","640","4092000","38350","100","300","100","300","0","0","0","0"
"53","Weapon","3","11","1280","6140000","51150","100","300","100","300","0","0","0","0"
"54","Weapon","3","12","2560","8188000","63950","100","300","100","300","0","0","0","0"
"55","Weapon","3","13","5120","10236000","76750","100","300","100","300","0","0","0","0"
"56","Weapon","3","14","10240","12284000","89550","100","300","100","300","0","0","0","0"
"57","Weapon","3","15","20480","14332000","102350","100","300","100","300","0","0","0","0"
"58","Weapon","3","16","40960","16380000","115150","100","300","100","300","0","0","0","0"
"59","Weapon","3","17","81920","18428000","127950","100","300","100","300","0","0","0","0"
"60","Weapon","3","18","163840","20476000","140750","100","300","100","300","0","0","0","0"
"61","Weapon","3","19","327680","22524000","153550","100","300","100","300","0","0","0","0"
"62","Weapon","3","20","655360","24572000","166350","100","300","100","300","0","0","0","0"
"63","Weapon","3","21","1310720","26620000","179150","100","300","100","300","0","0","0","0"
"64","Weapon","4","1","0","150000","1000","800","1200","0","0","0","0","0","0"
"65","Weapon","4","2","0","300000","3000","800","1200","0","0","0","0","0","0"
"66","Weapon","4","3","0","600000","5000","800","1200","0","0","0","0","0","0"
"67","Weapon","4","4","10","1200000","9000","800","1200","2500","3500","900","900","800","800"
"68","Weapon","4","5","20","2400000","17000","800","1200","0","0","0","0","0","0"
"69","Weapon","4","6","40","4800000","25000","800","1200","0","0","900","900","800","800"
"70","Weapon","4","7","80","9600000","33000","800","1200","2500","3500","0","0","0","0"
"71","Weapon","4","8","160","19200000","41000","800","1200","600","1000","0","0","0","0"
"72","Weapon","4","9","320","38400000","51000","800","1200","600","1000","900","900","800","800"
"73","Weapon","4","10","640","76800000","61000","100","300","100","300","0","0","0","0"
"74","Weapon","4","11","1280","115200000","71000","100","300","100","300","0","0","0","0"
"75","Weapon","4","12","2560","153600000","81000","100","300","100","300","0","0","0","0"
"76","Weapon","4","13","5120","192000000","91000","100","300","100","300","0","0","0","0"
"77","Weapon","4","14","10240","230400000","101000","100","300","100","300","0","0","0","0"
"78","Weapon","4","15","20480","268800000","111000","100","300","100","300","0","0","0","0"
"79","Weapon","4","16","40960","307200000","121000","100","300","100","300","0","0","0","0"
"80","Weapon","4","17","81920","345600000","131000","100","300","100","300","0","0","0","0"
"81","Weapon","4","18","163840","384000000","141000","100","300","100","300","0","0","0","0"
"82","Weapon","4","19","327680","422400000","151000","100","300","100","300","0","0","0","0"
"83","Weapon","4","20","655360","460800000","161000","100","300","100","300","0","0","0","0"
"84","Weapon","4","21","1310720","499200000","171000","100","300","100","300","0","0","0","0"
"85","Weapon","5","1","0","4000000","4000","1300","1400","1200","1300","0","0","0","0"
"86","Weapon","5","2","0","8000000","8000","1300","1400","1200","1300","0","0","0","0"
"87","Weapon","5","3","0","16000000","12000","1300","1400","1200","1300","0","0","0","0"
"88","Weapon","5","4","20","32000000","16000","3500","3600","3500","3600","2000","2000","1500","1500"
"89","Weapon","5","5","40","64000000","24000","1300","1400","1200","1300","0","0","0","0"
"90","Weapon","5","6","80","128000000","32000","1300","1400","1200","1300","2000","2000","1500","1500"
"91","Weapon","5","7","160","256000000","40000","1300","1400","1200","1300","0","0","0","0"
"92","Weapon","5","8","320","512000000","48000","1300","1400","1200","1300","0","0","0","0"
"93","Weapon","5","9","640","1024000000","60000","1300","1400","1200","1300","2000","2000","1500","1500"
"94","Weapon","5","10","1280","2048000000","72000","100","300","100","300","0","0","0","0"
"95","Weapon","5","11","2560","3072000000","84000","100","300","100","300","0","0","0","0"
"96","Weapon","5","12","5120","4096000000","96000","100","300","100","300","0","0","0","0"
"97","Weapon","5","13","10240","5120000000","108000","100","300","100","300","0","0","0","0"
"98","Weapon","5","14","20480","6144000000","120000","100","300","100","300","0","0","0","0"
"99","Weapon","5","15","40960","7168000000","132000","100","300","100","300","0","0","0","0"
"100","Weapon","5","16","81920","8192000000","144000","100","300","100","300","0","0","0","0"
"101","Weapon","5","17","163840","9216000000","156000","100","300","100","300","0","0","0","0"
"102","Weapon","5","18","327680","10240000000","168000","100","300","100","300","0","0","0","0"
"103","Weapon","5","19","655360","11264000000","180000","100","300","100","300","0","0","0","0"
"104","Weapon","5","20","1310720","12288000000","192000","100","300","100","300","0","0","0","0"
"105","Weapon","5","21","2621440","13312000000","204000","100","300","100","300","0","0","0","0"
"106","Armor","1","1","0","10","20","800","1200","0","0","0","0","0","0"
"107","Armor","1","2","0","30","40","800","1200","0","0","0","0","0","0"
"108","Armor","1","3","0","70","60","800","1200","0","0","0","0","0","0"
"109","Armor","1","4","10","150","80","800","1200","2500","3500","900","900","800","800"
"110","Armor","1","5","20","310","280","800","1200","0","0","0","0","0","0"
"111","Armor","1","6","40","630","480","800","1200","0","0","900","900","800","800"
"112","Armor","1","7","80","1270","680","800","1200","2500","3500","0","0","0","0"
"113","Armor","1","8","160","2550","880","800","1200","600","1000","0","0","0","0"
"114","Armor","1","9","320","5110","2880","800","1200","600","1000","900","900","800","800"
"115","Armor","1","10","640","10230","4880","100","300","100","300","0","0","0","0"
"116","Armor","1","11","1280","15350","6880","100","300","100","300","0","0","0","0"
"117","Armor","1","12","2560","20470","8880","100","300","100","300","0","0","0","0"
"118","Armor","1","13","5120","25590","10880","100","300","100","300","0","0","0","0"
"119","Armor","1","14","10240","30710","12880","100","300","100","300","0","0","0","0"
"120","Armor","1","15","20480","35830","14880","100","300","100","300","0","0","0","0"
"121","Armor","1","16","40960","40950","16880","100","300","100","300","0","0","0","0"
"122","Armor","1","17","81920","46070","18880","100","300","100","300","0","0","0","0"
"123","Armor","1","18","163840","51190","20880","100","300","100","300","0","0","0","0"
"124","Armor","1","19","327680","56310","22880","100","300","100","300","0","0","0","0"
"125","Armor","1","20","655360","61430","24880","100","300","100","300","0","0","0","0"
"126","Armor","1","21","1310720","66550","26880","100","300","100","300","0","0","0","0"
"127","Armor","2","1","0","200","30","800","1200","0","0","0","0","0","0"
"128","Armor","2","2","0","600","150","800","1200","0","0","0","0","0","0"
"129","Armor","2","3","0","1400","450","800","1200","0","0","0","0","0","0"
"130","Armor","2","4","10","3000","1650","800","1200","2500","3500","900","900","800","800"
"131","Armor","2","5","20","6200","2850","800","1200","0","0","0","0","0","0"
"132","Armor","2","6","40","12600","5250","800","1200","0","0","900","900","800","800"
"133","Armor","2","7","80","25400","7650","800","1200","2500","3500","0","0","0","0"
"134","Armor","2","8","160","51000","12650","800","1200","600","1000","0","0","0","0"
"135","Armor","2","9","320","102200","17650","800","1200","600","1000","900","900","800","800"
"136","Armor","2","10","640","204600","22650","100","300","100","300","0","0","0","0"
"137","Armor","2","11","1280","307000","27650","100","300","100","300","0","0","0","0"
"138","Armor","2","12","2560","409400","32650","100","300","100","300","0","0","0","0"
"139","Armor","2","13","5120","511800","37650","100","300","100","300","0","0","0","0"
"140","Armor","2","14","10240","614200","42650","100","300","100","300","0","0","0","0"
"141","Armor","2","15","20480","716600","47650","100","300","100","300","0","0","0","0"
"142","Armor","2","16","40960","819000","52650","100","300","100","300","0","0","0","0"
"143","Armor","2","17","81920","921400","57650","100","300","100","300","0","0","0","0"
"144","Armor","2","18","163840","1023800","62650","100","300","100","300","0","0","0","0"
"145","Armor","2","19","327680","1126200","67650","100","300","100","300","0","0","0","0"
"146","Armor","2","20","655360","1228600","72650","100","300","100","300","0","0","0","0"
"147","Armor","2","21","1310720","1331000","77650","100","300","100","300","0","0","0","0"
"148","Armor","3","1","0","4000","50","800","1200","0","0","0","0","0","0"
"149","Armor","3","2","0","12000","150","800","1200","0","0","0","0","0","0"
"150","Armor","3","3","0","28000","350","800","1200","0","0","0","0","0","0"
"151","Armor","3","4","10","60000","750","800","1200","2500","3500","900","900","800","800"
"152","Armor","3","5","20","124000","1550","800","1200","0","0","0","0","0","0"
"153","Armor","3","6","40","252000","3150","800","1200","0","0","900","900","800","800"
"154","Armor","3","7","80","508000","6350","800","1200","2500","3500","0","0","0","0"
"155","Armor","3","8","160","1020000","12750","800","1200","600","1000","0","0","0","0"
"156","Armor","3","9","320","2044000","25550","800","1200","600","1000","900","900","800","800"
"157","Armor","3","10","640","4092000","38350","100","300","100","300","0","0","0","0"
"158","Armor","3","11","1280","6140000","51150","100","300","100","300","0","0","0","0"
"159","Armor","3","12","2560","8188000","63950","100","300","100","300","0","0","0","0"
"160","Armor","3","13","5120","10236000","76750","100","300","100","300","0","0","0","0"
"161","Armor","3","14","10240","12284000","89550","100","300","100","300","0","0","0","0"
"162","Armor","3","15","20480","14332000","102350","100","300","100","300","0","0","0","0"
"163","Armor","3","16","40960","16380000","115150","100","300","100","300","0","0","0","0"
"164","Armor","3","17","81920","18428000","127950","100","300","100","300","0","0","0","0"
"165","Armor","3","18","163840","20476000","140750","100","300","100","300","0","0","0","0"
"166","Armor","3","19","327680","22524000","153550","100","300","100","300","0","0","0","0"
"167","Armor","3","20","655360","24572000","166350","100","300","100","300","0","0","0","0"
"168","Armor","3","21","1310720","26620000","179150","100","300","100","300","0","0","0","0"
"169","Armor","4","1","0","150000","1000","800","1200","0","0","0","0","0","0"
"170","Armor","4","2","0","300000","3000","800","1200","0","0","0","0","0","0"
"171","Armor","4","3","0","600000","5000","800","1200","0","0","0","0","0","0"
"172","Armor","4","4","10","1200000","9000","800","1200","2500","3500","900","900","800","800"
"173","Armor","4","5","20","2400000","17000","800","1200","0","0","0","0","0","0"
"174","Armor","4","6","40","4800000","25000","800","1200","0","0","900","900","800","800"
"175","Armor","4","7","80","9600000","33000","800","1200","2500","3500","0","0","0","0"
"176","Armor","4","8","160","19200000","41000","800","1200","600","1000","0","0","0","0"
"177","Armor","4","9","320","38400000","51000","800","1200","600","1000","900","900","800","800"
"178","Armor","4","10","640","76800000","61000","100","300","100","300","0","0","0","0"
"179","Armor","4","11","1280","115200000","71000","100","300","100","300","0","0","0","0"
"180","Armor","4","12","2560","153600000","81000","100","300","100","300","0","0","0","0"
"181","Armor","4","13","5120","192000000","91000","100","300","100","300","0","0","0","0"
"182","Armor","4","14","10240","230400000","101000","100","300","100","300","0","0","0","0"
"183","Armor","4","15","20480","268800000","111000","100","300","100","300","0","0","0","0"
"184","Armor","4","16","40960","307200000","121000","100","300","100","300","0","0","0","0"
"185","Armor","4","17","81920","345600000","131000","100","300","100","300","0","0","0","0"
"186","Armor","4","18","163840","384000000","141000","100","300","100","300","0","0","0","0"
"187","Armor","4","19","327680","422400000","151000","100","300","100","300","0","0","0","0"
"188","Armor","4","20","655360","460800000","161000","100","300","100","300","0","0","0","0"
"189","Armor","4","21","1310720","499200000","171000","100","300","100","300","0","0","0","0"
"190","Armor","5","1","0","4000000","4000","1300","1400","1200","1300","0","0","0","0"
"191","Armor","5","2","0","8000000","8000","1300","1400","1200","1300","0","0","0","0"
"192","Armor","5","3","0","16000000","12000","1300","1400","1200","1300","0","0","0","0"
"193","Armor","5","4","20","32000000","16000","3500","3600","3500","3600","2000","2000","1500","1500"
"194","Armor","5","5","40","64000000","24000","1300","1400","1200","1300","0","0","0","0"
"195","Armor","5","6","80","128000000","32000","1300","1400","1200","1300","2000","2000","1500","1500"
"196","Armor","5","7","160","256000000","40000","1300","1400","1200","1300","0","0","0","0"
"197","Armor","5","8","320","512000000","48000","1300","1400","1200","1300","0","0","0","0"
"198","Armor","5","9","640","1024000000","60000","1300","1400","1200","1300","2000","2000","1500","1500"
"199","Armor","5","10","1280","2048000000","72000","100","300","100","300","0","0","0","0"
"200","Armor","5","11","2560","3072000000","84000","100","300","100","300","0","0","0","0"
"201","Armor","5","12","5120","4096000000","96000","100","300","100","300","0","0","0","0"
"202","Armor","5","13","10240","5120000000","108000","100","300","100","300","0","0","0","0"
"203","Armor","5","14","20480","6144000000","120000","100","300","100","300","0","0","0","0"
"204","Armor","5","15","40960","7168000000","132000","100","300","100","300","0","0","0","0"
"205","Armor","5","16","81920","8192000000","144000","100","300","100","300","0","0","0","0"
"206","Armor","5","17","163840","9216000000","156000","100","300","100","300","0","0","0","0"
"207","Armor","5","18","327680","10240000000","168000","100","300","100","300","0","0","0","0"
"208","Armor","5","19","655360","11264000000","180000","100","300","100","300","0","0","0","0"
"209","Armor","5","20","1310720","12288000000","192000","100","300","100","300","0","0","0","0"
"210","Armor","5","21","2621440","13312000000","204000","100","300","100","300","0","0","0","0"
"211","Belt","1","1","0","10","20","800","1200","0","0","0","0","0","0"
"212","Belt","1","2","0","30","40","800","1200","0","0","0","0","0","0"
"213","Belt","1","3","0","70","60","800","1200","0","0","0","0","0","0"
"214","Belt","1","4","10","150","80","800","1200","2500","3500","900","900","800","800"
"215","Belt","1","5","20","310","280","800","1200","0","0","0","0","0","0"
"216","Belt","1","6","40","630","480","800","1200","0","0","900","900","800","800"
"217","Belt","1","7","80","1270","680","800","1200","2500","3500","0","0","0","0"
"218","Belt","1","8","160","2550","880","800","1200","600","1000","0","0","0","0"
"219","Belt","1","9","320","5110","2880","800","1200","600","1000","900","900","800","800"
"220","Belt","1","10","640","10230","4880","100","300","100","300","0","0","0","0"
"221","Belt","1","11","1280","15350","6880","100","300","100","300","0","0","0","0"
"222","Belt","1","12","2560","20470","8880","100","300","100","300","0","0","0","0"
"223","Belt","1","13","5120","25590","10880","100","300","100","300","0","0","0","0"
"224","Belt","1","14","10240","30710","12880","100","300","100","300","0","0","0","0"
"225","Belt","1","15","20480","35830","14880","100","300","100","300","0","0","0","0"
"226","Belt","1","16","40960","40950","16880","100","300","100","300","0","0","0","0"
"227","Belt","1","17","81920","46070","18880","100","300","100","300","0","0","0","0"
"228","Belt","1","18","163840","51190","20880","100","300","100","300","0","0","0","0"
"229","Belt","1","19","327680","56310","22880","100","300","100","300","0","0","0","0"
"230","Belt","1","20","655360","61430","24880","100","300","100","300","0","0","0","0"
"231","Belt","1","21","1310720","66550","26880","100","300","100","300","0","0","0","0"
"232","Belt","2","1","0","200","30","800","1200","0","0","0","0","0","0"
"233","Belt","2","2","0","600","150","800","1200","0","0","0","0","0","0"
"234","Belt","2","3","0","1400","450","800","1200","0","0","0","0","0","0"
"235","Belt","2","4","10","3000","1650","800","1200","2500","3500","900","900","800","800"
"236","Belt","2","5","20","6200","2850","800","1200","0","0","0","0","0","0"
"237","Belt","2","6","40","12600","5250","800","1200","0","0","900","900","800","800"
"238","Belt","2","7","80","25400","7650","800","1200","2500","3500","0","0","0","0"
"239","Belt","2","8","160","51000","12650","800","1200","600","1000","0","0","0","0"
"240","Belt","2","9","320","102200","17650","800","1200","600","1000","900","900","800","800"
"241","Belt","2","10","640","204600","22650","100","300","100","300","0","0","0","0"
"242","Belt","2","11","1280","307000","27650","100","300","100","300","0","0","0","0"
"243","Belt","2","12","2560","409400","32650","100","300","100","300","0","0","0","0"
"244","Belt","2","13","5120","511800","37650","100","300","100","300","0","0","0","0"
"245","Belt","2","14","10240","614200","42650","100","300","100","300","0","0","0","0"
"246","Belt","2","15","20480","716600","47650","100","300","100","300","0","0","0","0"
"247","Belt","2","16","40960","819000","52650","100","300","100","300","0","0","0","0"
"248","Belt","2","17","81920","921400","57650","100","300","100","300","0","0","0","0"
"249","Belt","2","18","163840","1023800","62650","100","300","100","300","0","0","0","0"
"250","Belt","2","19","327680","1126200","67650","100","300","100","300","0","0","0","0"
"251","Belt","2","20","655360","1228600","72650","100","300","100","300","0","0","0","0"
"252","Belt","2","21","1310720","1331000","77650","100","300","100","300","0","0","0","0"
"253","Belt","3","1","0","4000","50","800","1200","0","0","0","0","0","0"
"254","Belt","3","2","0","12000","150","800","1200","0","0","0","0","0","0"
"255","Belt","3","3","0","28000","350","800","1200","0","0","0","0","0","0"
"256","Belt","3","4","10","60000","750","800","1200","2500","3500","900","900","800","800"
"257","Belt","3","5","20","124000","1550","800","1200","0","0","0","0","0","0"
"258","Belt","3","6","40","252000","3150","800","1200","0","0","900","900","800","800"
"259","Belt","3","7","80","508000","6350","800","1200","2500","3500","0","0","0","0"
"260","Belt","3","8","160","1020000","12750","800","1200","600","1000","0","0","0","0"
"261","Belt","3","9","320","2044000","25550","800","1200","600","1000","900","900","800","800"
"262","Belt","3","10","640","4092000","38350","100","300","100","300","0","0","0","0"
"263","Belt","3","11","1280","6140000","51150","100","300","100","300","0","0","0","0"
"264","Belt","3","12","2560","8188000","63950","100","300","100","300","0","0","0","0"
"265","Belt","3","13","5120","10236000","76750","100","300","100","300","0","0","0","0"
"266","Belt","3","14","10240","12284000","89550","100","300","100","300","0","0","0","0"
"267","Belt","3","15","20480","14332000","102350","100","300","100","300","0","0","0","0"
"268","Belt","3","16","40960","16380000","115150","100","300","100","300","0","0","0","0"
"269","Belt","3","17","81920","18428000","127950","100","300","100","300","0","0","0","0"
"270","Belt","3","18","163840","20476000","140750","100","300","100","300","0","0","0","0"
"271","Belt","3","19","327680","22524000","153550","100","300","100","300","0","0","0","0"
"272","Belt","3","20","655360","24572000","166350","100","300","100","300","0","0","0","0"
"273","Belt","3","21","1310720","26620000","179150","100","300","100","300","0","0","0","0"
"274","Belt","4","1","0","150000","1000","800","1200","0","0","0","0","0","0"
"275","Belt","4","2","0","300000","3000","800","1200","0","0","0","0","0","0"
"276","Belt","4","3","0","600000","5000","800","1200","0","0","0","0","0","0"
"277","Belt","4","4","10","1200000","9000","800","1200","2500","3500","900","900","800","800"
"278","Belt","4","5","20","2400000","17000","800","1200","0","0","0","0","0","0"
"279","Belt","4","6","40","4800000","25000","800","1200","0","0","900","900","800","800"
"280","Belt","4","7","80","9600000","33000","800","1200","2500","3500","0","0","0","0"
"281","Belt","4","8","160","19200000","41000","800","1200","600","1000","0","0","0","0"
"282","Belt","4","9","320","38400000","51000","800","1200","600","1000","900","900","800","800"
"283","Belt","4","10","640","76800000","61000","100","300","100","300","0","0","0","0"
"284","Belt","4","11","1280","115200000","71000","100","300","100","300","0","0","0","0"
"285","Belt","4","12","2560","153600000","81000","100","300","100","300","0","0","0","0"
"286","Belt","4","13","5120","192000000","91000","100","300","100","300","0","0","0","0"
"287","Belt","4","14","10240","230400000","101000","100","300","100","300","0","0","0","0"
"288","Belt","4","15","20480","268800000","111000","100","300","100","300","0","0","0","0"
"289","Belt","4","16","40960","307200000","121000","100","300","100","300","0","0","0","0"
"290","Belt","4","17","81920","345600000","131000","100","300","100","300","0","0","0","0"
"291","Belt","4","18","163840","384000000","141000","100","300","100","300","0","0","0","0"
"292","Belt","4","19","327680","422400000","151000","100","300","100","300","0","0","0","0"
"293","Belt","4","20","655360","460800000","161000","100","300","100","300","0","0","0","0"
"294","Belt","4","21","1310720","499200000","171000","100","300","100","300","0","0","0","0"
"295","Belt","5","1","0","4000000","4000","1300","1400","1200","1300","0","0","0","0"
"296","Belt","5","2","0","8000000","8000","1300","1400","1200","1300","0","0","0","0"
"297","Belt","5","3","0","16000000","12000","1300","1400","1200","1300","0","0","0","0"
"298","Belt","5","4","20","32000000","16000","3500","3600","3500","3600","2000","2000","1500","1500"
"299","Belt","5","5","40","64000000","24000","1300","1400","1200","1300","0","0","0","0"
"300","Belt","5","6","80","128000000","32000","1300","1400","1200","1300","2000","2000","1500","1500"
"301","Belt","5","7","160","256000000","40000","1300","1400","1200","1300","0","0","0","0"
"302","Belt","5","8","320","512000000","48000","1300","1400","1200","1300","0","0","0","0"
"303","Belt","5","9","640","1024000000","60000","1300","1400","1200","1300","2000","2000","1500","1500"
"304","Belt","5","10","1280","2048000000","72000","100","300","100","300","0","0","0","0"
"305","Belt","5","11","2560","3072000000","84000","100","300","100","300","0","0","0","0"
"306","Belt","5","12","5120","4096000000","96000","100","300","100","300","0","0","0","0"
"307","Belt","5","13","10240","5120000000","108000","100","300","100","300","0","0","0","0"
"308","Belt","5","14","20480","6144000000","120000","100","300","100","300","0","0","0","0"
"309","Belt","5","15","40960","7168000000","132000","100","300","100","300","0","0","0","0"
"310","Belt","5","16","81920","8192000000","144000","100","300","100","300","0","0","0","0"
"311","Belt","5","17","163840","9216000000","156000","100","300","100","300","0","0","0","0"
"312","Belt","5","18","327680","10240000000","168000","100","300","100","300","0","0","0","0"
"313","Belt","5","19","655360","11264000000","180000","100","300","100","300","0","0","0","0"
"314","Belt","5","20","1310720","12288000000","192000","100","300","100","300","0","0","0","0"
"315","Belt","5","21","2621440","13312000000","204000","100","300","100","300","0","0","0","0"
"316","Necklace","1","1","0","10","20","800","1200","0","0","0","0","0","0"
"317","Necklace","1","2","0","30","40","800","1200","0","0","0","0","0","0"
"318","Necklace","1","3","0","70","60","800","1200","0","0","0","0","0","0"
"319","Necklace","1","4","10","150","80","800","1200","2500","3500","900","900","800","800"
"320","Necklace","1","5","20","310","280","800","1200","0","0","0","0","0","0"
"321","Necklace","1","6","40","630","480","800","1200","0","0","900","900","800","800"
"322","Necklace","1","7","80","1270","680","800","1200","2500","3500","0","0","0","0"
"323","Necklace","1","8","160","2550","880","800","1200","600","1000","0","0","0","0"
"324","Necklace","1","9","320","5110","2880","800","1200","600","1000","900","900","800","800"
"325","Necklace","1","10","640","10230","4880","100","300","100","300","0","0","0","0"
"326","Necklace","1","11","1280","15350","6880","100","300","100","300","0","0","0","0"
"327","Necklace","1","12","2560","20470","8880","100","300","100","300","0","0","0","0"
"328","Necklace","1","13","5120","25590","10880","100","300","100","300","0","0","0","0"
"329","Necklace","1","14","10240","30710","12880","100","300","100","300","0","0","0","0"
"330","Necklace","1","15","20480","35830","14880","100","300","100","300","0","0","0","0"
"331","Necklace","1","16","40960","40950","16880","100","300","100","300","0","0","0","0"
"332","Necklace","1","17","81920","46070","18880","100","300","100","300","0","0","0","0"
"333","Necklace","1","18","163840","51190","20880","100","300","100","300","0","0","0","0"
"334","Necklace","1","19","327680","56310","22880","100","300","100","300","0","0","0","0"
"335","Necklace","1","20","655360","61430","24880","100","300","100","300","0","0","0","0"
"336","Necklace","1","21","1310720","66550","26880","100","300","100","300","0","0","0","0"
"337","Necklace","2","1","0","200","30","800","1200","0","0","0","0","0","0"
"338","Necklace","2","2","0","600","150","800","1200","0","0","0","0","0","0"
"339","Necklace","2","3","0","1400","450","800","1200","0","0","0","0","0","0"
"340","Necklace","2","4","10","3000","1650","800","1200","2500","3500","900","900","800","800"
"341","Necklace","2","5","20","6200","2850","800","1200","0","0","0","0","0","0"
"342","Necklace","2","6","40","12600","5250","800","1200","0","0","900","900","800","800"
"343","Necklace","2","7","80","25400","7650","800","1200","2500","3500","0","0","0","0"
"344","Necklace","2","8","160","51000","12650","800","1200","600","1000","0","0","0","0"
"345","Necklace","2","9","320","102200","17650","800","1200","600","1000","900","900","800","800"
"346","Necklace","2","10","640","204600","22650","100","300","100","300","0","0","0","0"
"347","Necklace","2","11","1280","307000","27650","100","300","100","300","0","0","0","0"
"348","Necklace","2","12","2560","409400","32650","100","300","100","300","0","0","0","0"
"349","Necklace","2","13","5120","511800","37650","100","300","100","300","0","0","0","0"
"350","Necklace","2","14","10240","614200","42650","100","300","100","300","0","0","0","0"
"351","Necklace","2","15","20480","716600","47650","100","300","100","300","0","0","0","0"
"352","Necklace","2","16","40960","819000","52650","100","300","100","300","0","0","0","0"
"353","Necklace","2","17","81920","921400","57650","100","300","100","300","0","0","0","0"
"354","Necklace","2","18","163840","1023800","62650","100","300","100","300","0","0","0","0"
"355","Necklace","2","19","327680","1126200","67650","100","300","100","300","0","0","0","0"
"356","Necklace","2","20","655360","1228600","72650","100","300","100","300","0","0","0","0"
"357","Necklace","2","21","1310720","1331000","77650","100","300","100","300","0","0","0","0"
"358","Necklace","3","1","0","4000","50","800","1200","0","0","0","0","0","0"
