Id,Floor,RequiredCp,MaxCp,ForbiddenItemSubTypes,MinItemGrade,MaxItemGrade,MinItemLevel,MaxItemLevel,GuaranteedConditionId,MinRandomConditions,MaxRandomConditions,RandomConditionId1,RandomConditionWeight1,RandomConditionId2,RandomConditionWeight2,RandomConditionId3,RandomConditionWeight3,RandomConditionId4,RandomConditionWeight4,RandomConditionId5,RandomConditionWeight5,ItemRewardId1,ItemRewardCount1,ItemRewardId2,ItemRewardCount2,ItemRewardId3,ItemRewardCount3,ItemRewardId4,ItemRewardCount4,ItemRewardId5,ItemRewardCount5,FungibleAssetRewardTicker1,FungibleAssetRewardAmount1,FungibleAssetRewardTicker2,FungibleAssetRewardAmount2,FungibleAssetRewardTicker3,FungibleAssetRewardAmount3,FungibleAssetRewardTicker4,FungibleAssetRewardAmount4,FungibleAssetRewardTicker5,FungibleAssetRewardAmount5,NcgCost,MaterialCostId,MaterialCostCount,ForbiddenRuneTypes,RequiredElementalType,hp_option,atk_option,def_option,cri_option,hit_option,spd_option
27,27,180000000,,19,,,,,1,3,3,34,80,36,80,8,50,18,50,23,60,500000,112,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,62000,31000,62000,100,62000,31000
28,28,190000000,,19,,,,,1,3,3,34,80,37,80,9,50,19,50,23,60,500000,112,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,64000,32000,64000,100,64000,32000
29,29,200000000,,19,,,,,1,3,3,35,80,36,80,10,50,20,50,23,60,500000,112,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,66000,33000,66000,100,66000,33000
30,30,210000000,,19,,,,,1,1,2,24,40,25,60,,,,,,,600206,9,500001,30,,,,,,,RUNESTONE_YGGATK,10,,,,,,,,,180,600206,80,,0:01:03,68000,34000,68000,100,68000,34000
31,31,220000000,,19,,,,,1,3,3,35,80,37,80,2,20,12,80,23,60,600202,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,70000,35000,70000,100,70000,35000
32,32,230000000,,19,,,,,1,3,3,36,80,37,80,3,20,13,80,23,60,600202,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,72000,36000,72000,100,72000,36000
33,33,240000000,,19,,,,,1,3,3,34,80,35,80,4,20,14,80,23,60,600202,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,74000,37000,74000,100,74000,37000
34,34,250000000,,19,,,,,1,3,3,34,80,36,80,5,20,15,80,23,60,600202,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,76000,38000,76000,100,76000,38000
35,35,260000000,,19,,,,,1,3,3,34,80,37,80,6,20,16,80,23,60,600203,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,78000,39000,78000,100,78000,39000
36,36,270000000,,19,,,,,1,3,3,35,80,36,80,7,20,17,80,23,60,600202,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,80000,40000,80000,100,80000,40000
37,37,280000000,,19,,,,,1,3,3,35,80,37,80,8,20,18,80,23,60,600202,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,82000,41000,82000,100,82000,41000
38,38,290000000,,19,,,,,1,3,3,36,80,37,80,9,20,19,80,23,60,600202,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,84000,42000,84000,100,84000,42000
39,39,300000000,,19,,,,,1,3,3,34,80,35,80,10,20,20,80,23,60,600202,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,86000,43000,86000,100,86000,43000
40,40,310000000,,19,,,,,1,3,3,34,80,36,80,30,50,31,50,,,600206,13,500001,40,,,,,,,RUNESTONE_YGGHP,10,,,,,,,,,180,600206,80,,0:01:03,88000,44000,88000,100,88000,44000
41,41,320000000,,19,,,,,1,3,3,34,80,37,80,2,20,12,80,23,60,600203,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,90000,45000,90000,100,90000,45000
42,42,330000000,,19,,,,,1,3,3,35,80,36,80,3,20,13,80,23,60,600203,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,92000,46000,92000,100,92000,46000
43,43,340000000,,19,,,,,1,3,3,35,80,37,80,4,20,14,80,23,60,600203,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,94000,47000,94000,100,94000,47000
44,44,350000000,,19,,,,,1,3,3,36,80,37,80,5,20,15,80,23,60,600203,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,96000,48000,96000,100,96000,48000
45,45,360000000,,19,,,,,1,3,3,34,80,35,80,6,20,16,80,23,60,600202,135,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,98000,49000,98000,100,98000,49000
46,46,370000000,,19,,,,,1,3,3,34,80,36,80,7,20,17,80,23,60,600203,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,100000,50000,100000,100,100000,50000
47,47,380000000,,19,,,,,1,3,3,34,80,37,80,8,20,18,80,23,60,600203,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,102000,51000,102000,100,102000,51000
48,48,390000000,,19,,,,,1,3,3,35,80,36,80,9,20,19,80,23,60,600203,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,104000,52000,104000,100,104000,52000
49,49,400000000,,19,,,,,1,3,3,35,80,37,80,10,20,20,80,23,60,600203,90,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,106000,53000,106000,100,106000,53000
50,50,410000000,,19,,,,,1,3,3,36,80,37,80,11,20,21,80,23,60,600206,18,500001,40,,,,,,,RUNESTONE_YGGSPD,10,,,,,,,,,180,600206,80,,0:01:03,108000,108000,108000,100,108000,108000
51,51,500000000,,19,,,,,1,3,3,34,80,35,80,26,20,27,80,23,60,600201,450,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,110000,110000,110000,100,110000,110000
52,52,520000000,,19,,,,,1,3,3,34,80,36,80,26,20,27,80,23,60,600306,225,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,112000,112000,112000,100,112000,112000
53,53,540000000,,19,,,,,1,3,3,34,80,37,80,26,20,27,80,23,60,500000,450,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,114000,114000,114000,100,114000,114000
54,54,560000000,,19,,,,,1,3,3,35,80,36,80,26,20,27,80,23,60,400000,135000,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,116000,116000,116000,100,116000,116000
55,55,580000000,,19,,,,,1,3,3,35,80,37,80,26,20,27,80,23,60,600202,225,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,118000,118000,118000,100,118000,118000
56,56,600000000,,19,,,,,1,3,3,36,80,37,80,26,20,27,80,23,60,600401,225,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,120000,120000,120000,100,120000,120000
57,57,620000000,,19,,,,,1,3,3,34,80,35,80,26,20,27,80,23,60,600402,225,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,122000,122000,122000,100,122000,122000
58,58,640000000,,19,,,,,1,3,3,34,80,36,80,26,20,27,80,23,60,800202,45,500001,40,,,,,,,RUNESTONE_GOLDENTHOR,100,,,,,,,,,180,600206,80,,0:01:03,124000,124000,124000,100,124000,124000
59,59,660000000,,19,,,,,1,3,3,34,80,37,80,26,20,27,80,23,60,600203,225,500001,40,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,126000,126000,126000,100,126000,126000
60,60,680000000,,19,,,,,1,3,3,35,80,36,80,32,50,33,50,,,40100051,1,500001,40,,,,,,,RUNESTONE_YGGCRI,10,,,,,,,,,180,600206,80,,0:01:03,128000,128000,128000,100,128000,128000
61,61,700000000,,19,,,,,1,3,3,35,80,37,80,26,20,27,80,23,60,600201,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,130000,130000,130000,100,130000,130000
62,62,720000000,,19,,,,,1,3,3,36,80,37,80,26,20,27,80,23,60,600201,247,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,132000,132000,132000,100,132000,132000
63,63,740000000,,19,,,,,1,3,3,34,80,35,80,26,20,27,80,23,60,600201,270,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,134000,134000,134000,100,134000,134000
64,64,760000000,,19,,,,,1,3,3,34,80,36,80,26,20,27,80,23,60,600201,292,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,136000,136000,136000,100,136000,136000
65,65,780000000,,19,,,,,1,3,3,34,80,37,80,26,20,27,80,23,60,600202,315,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,138000,138000,138000,100,138000,138000
66,66,800000000,,19,,,,,1,3,3,35,80,36,80,26,20,27,80,23,60,600201,337,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,140000,140000,140000,100,140000,140000
67,67,820000000,,19,,,,,1,3,3,35,80,37,80,26,20,27,80,23,60,600201,360,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,142000,142000,142000,100,142000,142000
68,68,840000000,,19,,,,,1,3,3,36,80,37,80,26,20,27,80,23,60,600201,382,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,144000,144000,144000,100,144000,144000
69,69,860000000,,19,,,,,1,3,3,34,80,35,80,26,20,27,80,23,60,600201,405,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,146000,146000,146000,100,146000,146000
70,70,880000000,,19,,,,,1,3,3,34,80,36,80,26,20,27,80,23,60,600206,22,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,148000,148000,148000,100,148000,148000
71,71,900000000,,19,,,,,1,3,3,34,80,37,80,26,20,27,80,23,60,800202,45,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,150000,150000,150000,100,150000,150000
72,72,920000000,,19,,,,,1,3,3,35,80,36,80,26,20,27,80,23,60,800202,45,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,152000,152000,152000,100,152000,152000
73,73,940000000,,19,,,,,1,3,3,35,80,37,80,26,20,27,80,23,60,800202,45,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,154000,154000,154000,100,154000,154000
74,74,960000000,,19,,,,,1,3,3,36,80,37,80,26,20,27,80,23,60,800202,45,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,156000,156000,156000,100,156000,156000
75,75,980000000,,19,,,,,1,3,3,34,80,35,80,26,20,27,80,23,60,800202,45,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,158000,158000,158000,100,158000,158000
76,76,1000000000,,19,,,,,1,3,3,34,80,36,80,26,20,27,80,23,60,800202,45,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,160000,160000,160000,100,160000,160000
77,77,1000000000,,19,,,,,1,3,3,34,80,37,80,26,20,27,80,23,60,800202,45,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,162000,162000,162000,100,162000,162000
78,78,1000000000,,19,,,,,1,3,3,35,80,36,80,26,20,27,80,23,60,800202,45,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,164000,164000,164000,100,164000,164000
79,79,1000000000,,19,,,,,1,3,3,35,80,37,80,26,20,27,80,23,60,800202,45,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,166000,166000,166000,100,166000,166000
80,80,1000000000,,19,,,,,1,3,3,36,80,37,80,26,20,27,80,23,60,800202,45,500001,50,,,,,,,RUNESTONE_YGGATK,50,,,,,,,,,180,600206,80,,0:01:03,168000,168000,168000,100,168000,168000
81,81,1000000000,,19,,,,,1,3,3,34,80,35,80,26,20,27,80,23,60,600202,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,170000,170000,170000,100,170000,170000
82,82,1000000000,,19,,,,,1,3,3,34,80,36,80,26,20,27,80,23,60,600202,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,172000,172000,172000,100,172000,172000
83,83,1000000000,,19,,,,,1,3,3,34,80,37,80,26,20,27,80,23,60,600202,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,174000,174000,174000,100,174000,174000
84,84,1000000000,,19,,,,,1,3,3,35,80,36,80,26,20,27,80,23,60,600202,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,176000,176000,176000,100,176000,176000
85,85,1000000000,,19,,,,,1,3,3,35,80,37,80,26,20,27,80,23,60,600203,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,178000,178000,178000,100,178000,178000
86,86,1000000000,,19,,,,,1,3,3,36,80,37,80,26,20,27,80,23,60,600202,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,180000,180000,180000,100,180000,180000
87,87,1000000000,,19,,,,,1,3,3,34,80,35,80,26,20,27,80,23,60,600202,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,182000,182000,182000,100,182000,182000
88,88,1000000000,,19,,,,,1,3,3,34,80,36,80,26,20,27,80,23,60,600202,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,184000,184000,184000,100,184000,184000
89,89,1000000000,,19,,,,,1,3,3,34,80,37,80,26,20,27,80,23,60,600202,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,186000,186000,186000,100,186000,186000
90,90,1000000000,,19,,,,,1,3,3,35,80,36,80,26,20,27,80,23,60,600202,225,500001,50,,,,,,,RUNESTONE_YGGHP,50,,,,,,,,,180,600206,80,,0:01:03,188000,188000,188000,100,188000,188000
91,91,1000000000,,19,,,,,1,3,3,35,80,37,80,26,20,27,80,23,60,600203,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,190000,190000,190000,100,190000,190000
92,92,1000000000,,19,,,,,1,3,3,36,80,37,80,26,20,27,80,23,60,600203,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,192000,192000,192000,100,192000,192000
93,93,1000000000,,19,,,,,1,3,3,34,80,35,80,26,20,27,80,23,60,600203,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,194000,194000,194000,100,194000,194000
94,94,1000000000,,19,,,,,1,3,3,34,80,36,80,26,20,27,80,23,60,600203,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,196000,196000,196000,100,196000,196000
95,95,1000000000,,19,,,,,1,3,3,34,80,37,80,26,20,27,80,23,60,600202,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,198000,198000,198000,100,198000,198000
96,96,1000000000,,19,,,,,1,3,3,35,80,36,80,26,20,27,80,23,60,600203,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,200000,200000,200000,100,200000,200000
97,97,1000000000,,19,,,,,1,3,3,35,80,37,80,26,20,27,80,23,60,600203,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,202000,202000,202000,100,202000,202000
98,98,1000000000,,19,,,,,1,3,3,36,80,37,80,26,20,27,80,23,60,600203,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,204000,204000,204000,100,204000,204000
99,99,1000000000,,19,,,,,1,3,3,34,80,35,80,26,20,27,80,23,60,600203,225,500001,50,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,206000,206000,206000,100,206000,206000
100,100,1000000000,,19,,,,,1,3,3,34,80,36,80,26,20,27,80,23,60,600203,225,500001,50,,,,,,,RUNESTONE_YGGSPD,50,,,,,,,,,180,600206,80,,0:01:03,208000,208000,208000,100,208000,208000
101,101,1000000000,,19,,,,,1,3,3,34,80,37,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,210000,210000,210000,100,210000,210000
102,102,1000000000,,19,,,,,1,3,3,35,80,36,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,212000,212000,212000,100,212000,212000
103,103,1000000000,,19,,,,,1,3,3,35,80,37,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,214000,214000,214000,100,214000,214000
104,104,1000000000,,19,,,,,1,3,3,36,80,37,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,216000,216000,216000,100,216000,216000
105,105,1000000000,,19,,,,,1,3,3,34,80,35,80,26,20,27,80,23,60,600307,135,500001,80,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,218000,218000,218000,100,218000,218000
106,106,1000000000,,19,,,,,1,3,3,34,80,36,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,220000,220000,220000,100,220000,220000
107,107,1000000000,,19,,,,,1,3,3,34,80,37,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,222000,222000,222000,100,222000,222000
108,108,1000000000,,19,,,,,1,3,3,35,80,36,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,224000,224000,224000,100,224000,224000
109,109,1000000000,,19,,,,,1,3,3,35,80,37,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,226000,226000,226000,100,226000,226000
110,110,1000000000,,19,,,,,1,3,3,36,80,37,80,26,20,27,80,23,60,49900048,1,600307,135,500001,80,,,,,RUNESTONE_YGGSPD,50,,,,,,,,,180,600206,80,,0:01:03,228000,228000,228000,100,228000,228000
111,111,1000000000,,19,,,,,1,3,3,34,80,35,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,230000,230000,230000,100,230000,230000
112,112,1000000000,,19,,,,,1,3,3,34,80,36,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,232000,232000,232000,100,232000,232000
113,113,1000000000,,19,,,,,1,3,3,34,80,37,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,234000,234000,234000,100,234000,234000
114,114,1000000000,,19,,,,,1,3,3,35,80,36,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,236000,236000,236000,100,236000,236000
115,115,1000000000,,19,,,,,1,3,3,35,80,37,80,26,20,27,80,23,60,600307,135,500001,80,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,238000,238000,238000,100,238000,238000
116,116,1000000000,,19,,,,,1,3,3,36,80,37,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,240000,240000,240000,100,240000,240000
117,117,1000000000,,19,,,,,1,3,3,34,80,35,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,242000,242000,242000,100,242000,242000
118,118,1000000000,,19,,,,,1,3,3,34,80,36,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,244000,244000,244000,100,244000,244000
119,119,1000000000,,19,,,,,1,3,3,34,80,37,80,26,20,27,80,23,60,600307,90,500001,60,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,246000,246000,246000,100,246000,246000
120,120,1000000000,,19,,,,,1,3,3,35,80,36,80,26,20,27,80,23,60,600307,225,500001,80,,,,,,,RUNESTONE_YGGSPD,100,,,,,,,,,180,600206,80,,0:01:03,248000,248000,248000,100,248000,248000
