id,cost_ap,turn_limit,hp_additional,atk_additional,def_additional,cri_additional,hit_additional,spd_additional,background,bgm,item1,item1_ratio,item1_min,item1_max,item2,item2_ratio,item2_min,item2_max,item3,item3_ratio,item3_min,item3_max,item4,item4_ratio,item4_min,item4_max,item5,item5_ratio,item5_min,item5_max,item6,item6_ratio,item6_min,item6_max,item7,item7_ratio,item7_min,item7_max,item8,item8_ratio,item8_min,item8_max,item9,item9_ratio,item9_min,item9_max,item10,item10_ratio,item10_min,item10_max,min_drop,max_drop
11,5,150,0,0,0,0,0,0,chapter_01_01,bgm_yggdrasil_01,303000,0.1,5,10,303100,0.1,5,10,303200,0.1,5,10,306024,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,5,10
12,5,150,0,0,0,0,0,0,chapter_01_01,bgm_yggdrasil_01,303000,0.1,5,10,303100,0.1,5,10,303200,0.1,5,10,306025,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,5,10
13,5,150,0,0,0,0,0,0,chapter_01_02,bgm_yggdrasil_02,303000,0.1,5,10,303100,0.1,5,10,303200,0.1,5,10,306023,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,5,10
14,5,150,25,25,25,0,25,25,chapter_01_01,bgm_yggdrasil_01,303000,0.1,5,10,303100,0.1,5,10,303200,0.1,5,10,306024,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,5,10
15,5,150,25,25,25,0,25,25,chapter_01_01,bgm_yggdrasil_01,303300,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
16,5,150,20,10,20,0,36,36,chapter_01_02,bgm_yggdrasil_02,303100,0.1,5,10,303200,0.1,5,10,303300,0.1,5,10,306025,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
17,5,150,25,25,25,0,25,25,chapter_01_01,bgm_yggdrasil_01,303400,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
18,5,150,30,43,30,0,43,43,chapter_01_02,bgm_yggdrasil_02,303000,0.1,5,10,303100,0.1,5,10,303300,0.1,5,10,306001,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
19,5,150,18,18,18,0,18,18,chapter_01_01,bgm_yggdrasil_01,303000,0.1,5,10,303200,0.1,5,10,303300,0.1,5,10,306002,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
20,5,150,10,10,10,0,10,10,chapter_01_03,bgm_yggdrasil_03,303100,0.1,5,10,303200,0.1,5,10,303300,0.1,5,10,306000,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
21,5,150,10,10,10,0,10,10,chapter_01_01,bgm_yggdrasil_01,303000,0.1,5,10,303300,0.1,5,10,303400,0.1,5,10,306000,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
22,5,150,10,10,10,0,10,10,chapter_01_01,bgm_yggdrasil_01,303000,0.1,5,10,303100,0.1,5,10,303400,0.1,5,10,306001,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
23,5,150,10,10,10,0,10,10,chapter_01_02,bgm_yggdrasil_02,303100,0.1,5,10,303200,0.1,5,10,303300,0.1,5,10,306002,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
24,5,150,10,10,10,0,10,10,chapter_01_01,bgm_yggdrasil_01,303200,0.1,5,10,303300,0.1,5,10,303400,0.1,5,10,306001,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
25,5,150,10,10,10,0,10,10,chapter_01_01,bgm_yggdrasil_01,303000,0.1,5,10,303100,0.1,5,10,303300,0.1,5,10,306000,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
26,5,150,10,10,10,0,10,10,chapter_01_02,bgm_yggdrasil_02,303200,0.1,5,10,303300,0.1,5,10,303400,0.1,5,10,306001,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
27,5,150,10,10,10,0,10,10,chapter_01_01,bgm_yggdrasil_01,303001,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
28,5,150,57,57,57,0,57,57,chapter_01_02,bgm_yggdrasil_02,303001,0.1,5,10,303200,0.1,5,10,303400,0.1,5,10,306000,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
29,5,150,35,35,35,0,35,35,chapter_01_01,bgm_yggdrasil_01,303001,0.1,5,10,303100,0.1,5,10,303200,0.1,5,10,306023,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
30,5,150,34,34,34,0,34,34,chapter_01_03,bgm_yggdrasil_03,303100,0.1,5,10,303300,0.1,5,10,303400,0.1,5,10,306002,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
31,5,150,33,33,33,0,33,33,chapter_01_01,bgm_yggdrasil_01,303100,0.1,5,10,303200,0.1,5,10,303300,0.1,5,10,306024,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
32,5,150,32,32,32,0,32,32,chapter_01_01,bgm_yggdrasil_01,303100,0.1,5,10,303300,0.1,5,10,303400,0.1,5,10,306002,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
33,5,150,31,31,31,0,31,31,chapter_01_02,bgm_yggdrasil_02,303100,0.1,5,10,303200,0.1,5,10,303400,0.1,5,10,306001,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
34,5,150,30,30,30,0,30,30,chapter_01_01,bgm_yggdrasil_01,303001,0.1,5,10,303100,0.1,5,10,303400,0.1,5,10,306025,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
35,5,150,29,29,29,0,29,29,chapter_01_01,bgm_yggdrasil_01,303101,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
36,5,150,28,28,28,0,28,28,chapter_01_02,bgm_yggdrasil_02,303101,0.1,5,10,303200,0.1,5,10,303300,0.1,5,10,306023,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
37,5,150,27,27,27,0,27,27,chapter_01_01,bgm_yggdrasil_01,303001,0.1,5,10,303101,0.1,5,10,303300,0.1,5,10,306002,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
38,5,150,26,26,26,0,26,26,chapter_01_02,bgm_yggdrasil_02,303001,0.1,5,10,303200,0.1,5,10,303400,0.1,5,10,306024,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
39,5,150,25,25,25,0,25,25,chapter_01_01,bgm_yggdrasil_01,303101,0.1,5,10,303200,0.1,5,10,303300,0.1,5,10,306000,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
40,5,150,24,24,24,0,24,24,chapter_01_03,bgm_yggdrasil_03,303200,0.1,5,10,303300,0.1,5,10,303400,0.1,5,10,306024,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,10,20
41,5,150,23,23,23,0,23,23,chapter_01_01,bgm_yggdrasil_01,303201,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
42,5,150,22,22,22,0,22,22,chapter_01_01,bgm_yggdrasil_01,303001,0.1,5,10,303201,0.1,5,10,303300,0.1,5,10,306023,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
43,5,150,21,21,21,0,21,21,chapter_01_02,bgm_yggdrasil_02,303201,0.1,5,10,303300,0.1,5,10,303400,0.1,5,10,306025,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
44,5,150,20,20,20,0,20,20,chapter_01_01,bgm_yggdrasil_01,303001,0.1,5,10,303300,0.1,5,10,303400,0.1,5,10,306002,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
45,5,150,20,20,20,0,20,20,chapter_01_01,bgm_yggdrasil_01,303101,0.1,5,10,303300,0.1,5,10,303400,0.1,5,10,306001,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
46,5,150,20,20,20,0,20,20,chapter_01_02,bgm_yggdrasil_02,303101,0.1,5,10,303300,0.1,5,10,303400,0.1,5,10,306023,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
47,5,150,40,20,20,0,40,40,chapter_01_01,bgm_yggdrasil_01,303301,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
48,5,150,20,20,20,0,20,20,chapter_01_02,bgm_yggdrasil_02,303001,0.1,5,10,303201,0.1,5,10,303301,0.1,5,10,306000,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
49,5,150,20,20,20,0,20,20,chapter_01_01,bgm_yggdrasil_01,303001,0.1,5,10,303301,0.1,5,10,303400,0.1,5,10,306024,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
50,5,150,20,20,20,0,20,20,chapter_01_03,bgm_yggdrasil_03,303101,0.1,5,10,303201,0.1,5,10,303301,0.1,5,10,306025,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
51,5,150,20,20,20,0,20,20,chapter_02_01,bgm_alfheim_01,303000,0.1,5,10,303301,0.1,5,10,303400,0.1,5,10,306009,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
52,5,150,20,20,20,0,20,20,chapter_02_01,bgm_alfheim_01,303000,0.1,5,10,303201,0.1,5,10,303400,0.1,5,10,306010,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
53,5,150,20,20,20,0,20,20,chapter_02_02,bgm_alfheim_02,303401,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
54,5,150,20,20,20,0,20,20,chapter_02_01,bgm_alfheim_01,303000,0.1,5,10,303101,0.1,5,10,303401,0.1,5,10,306011,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
55,5,150,20,20,20,0,20,20,chapter_02_01,bgm_alfheim_01,303001,0.1,5,10,303201,0.1,5,10,303401,0.1,5,10,306010,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
56,5,150,20,20,20,0,20,20,chapter_02_02,bgm_alfheim_02,303001,0.1,5,10,303101,0.1,5,10,303401,0.1,5,10,306009,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
57,5,150,20,20,20,0,20,20,chapter_02_01,bgm_alfheim_01,303001,0.1,5,10,303301,0.1,5,10,303401,0.1,5,10,306000,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
58,5,150,118,70,118,0,50,50,chapter_02_02,bgm_alfheim_02,303201,0.1,5,10,303301,0.1,5,10,303401,0.1,5,10,306025,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
59,5,150,50,50,50,0,50,50,chapter_02_01,bgm_alfheim_01,303100,0.1,5,10,303201,0.1,5,10,303301,0.1,5,10,306011,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
60,5,150,50,50,50,0,50,50,chapter_02_03,bgm_alfheim_03,303100,0.1,5,10,303201,0.1,5,10,303401,0.1,5,10,306010,0.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,15,20
61,5,150,50,50,50,0,50,50,chapter_02_01,bgm_alfheim_01,303001,0.1,5,10,303100,0.1,5,10,303201,0.1,5,10,306026,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
62,5,150,50,50,50,0,50,50,chapter_02_01,bgm_alfheim_01,303101,0.1,5,10,303201,0.1,5,10,303301,0.1,5,10,306027,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
63,5,150,50,50,50,0,50,50,chapter_02_02,bgm_alfheim_02,303002,1,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10
64,5,150,50,50,50,0,50,50,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303201,0.1,5,10,303301,0.1,5,10,306028,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
65,5,150,50,50,50,0,50,50,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303101,0.1,5,10,303401,0.1,5,10,306027,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
66,5,150,50,50,50,0,50,50,chapter_02_02,bgm_alfheim_02,303002,0.1,5,10,303301,0.1,5,10,303401,0.1,5,10,306028,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
67,5,150,50,50,50,0,50,50,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303201,0.1,5,10,303401,0.1,5,10,306026,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
68,5,150,50,50,50,0,50,50,chapter_02_02,bgm_alfheim_02,303002,0.1,5,10,303200,0.1,5,10,303301,0.1,5,10,306009,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
69,5,150,50,50,50,0,50,50,chapter_02_01,bgm_alfheim_01,303101,0.1,5,10,303200,0.1,5,10,303301,0.1,5,10,306028,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
70,5,150,50,50,50,0,50,50,chapter_02_03,bgm_alfheim_03,306040,0.97,10,10,306041,0.01,5,5,306044,0.01,5,5,306043,0.01,5,5,,,,,,,,,,,,,,,,,,,,,,,,,5,10
71,5,150,50,50,50,0,50,50,chapter_02_01,bgm_alfheim_01,303101,0.1,5,10,303200,0.1,5,10,303301,0.1,5,10,306011,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
72,5,150,50,50,50,0,50,50,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303101,0.1,5,10,303201,0.1,5,10,306027,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
73,5,150,30,30,30,0,30,30,chapter_02_02,bgm_alfheim_02,303101,0.1,5,10,303301,0.1,5,10,303401,0.1,5,10,306002,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
74,5,150,30,30,30,0,30,30,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303101,0.1,5,10,303401,0.1,5,10,306010,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
75,5,150,30,30,30,0,30,30,chapter_02_01,bgm_alfheim_01,303102,1,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10
76,5,150,30,30,30,0,30,30,chapter_02_02,bgm_alfheim_02,303102,0.1,5,10,303201,0.1,5,10,303401,0.1,5,10,306001,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
77,5,150,30,30,30,0,30,30,chapter_02_01,bgm_alfheim_01,303102,0.1,5,10,303201,0.1,5,10,303301,0.1,5,10,306011,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
78,5,150,30,30,30,0,30,30,chapter_02_02,bgm_alfheim_02,303201,0.1,5,10,303301,0.1,5,10,303401,0.1,5,10,306026,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
79,5,150,30,30,30,0,30,30,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303301,0.1,5,10,303401,0.1,5,10,306000,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
80,5,150,30,30,30,0,30,30,chapter_02_03,bgm_alfheim_03,303102,0.1,5,10,303201,0.1,5,10,303300,0.1,5,10,306004,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
81,5,150,30,30,30,0,30,30,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303102,0.1,5,10,303300,0.1,5,10,306010,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
82,5,150,30,30,30,0,30,30,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303201,0.1,5,10,303300,0.1,5,10,306005,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
83,5,150,10,20,10,0,20,20,chapter_02_02,bgm_alfheim_02,303002,0.1,5,10,303201,0.1,5,10,303401,0.1,5,10,306003,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
84,5,150,30,30,30,0,30,30,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303301,0.1,5,10,303401,0.1,5,10,306027,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
85,5,150,30,30,30,0,30,30,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303102,0.1,5,10,303201,0.1,5,10,306028,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
86,5,150,100,50,50,0,100,20,chapter_02_02,bgm_alfheim_02,303002,0.1,5,10,303102,0.1,5,10,303401,0.1,5,10,306009,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
87,5,150,100,50,50,0,100,20,chapter_02_01,bgm_alfheim_01,303202,1,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10
88,5,150,100,50,50,0,100,20,chapter_02_02,bgm_alfheim_02,303102,0.1,5,10,303202,0.1,5,10,303301,0.1,5,10,306026,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
89,5,150,100,50,50,0,100,20,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303202,0.1,5,10,303301,0.1,5,10,306009,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
90,5,150,100,50,50,0,100,20,chapter_02_03,bgm_alfheim_03,303102,0.1,5,10,303202,0.1,5,10,303301,0.1,5,10,306004,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
91,5,150,100,50,50,0,100,20,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303102,0.1,5,10,303301,0.1,5,10,306010,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
92,5,150,100,50,50,0,100,20,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303301,0.1,5,10,303401,0.1,5,10,306005,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
93,5,150,100,50,50,0,100,100,chapter_02_02,bgm_alfheim_02,303102,0.1,5,10,303202,0.1,5,10,303400,0.1,5,10,306011,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
94,5,150,80,35,50,0,60,60,chapter_02_01,bgm_alfheim_01,303102,0.1,5,10,303301,0.1,5,10,303400,0.1,5,10,306003,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
95,5,150,80,35,50,0,60,60,chapter_02_01,bgm_alfheim_01,303102,0.1,5,10,303301,0.1,5,10,303400,0.1,5,10,306028,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
96,5,150,60,35,30,0,40,60,chapter_02_02,bgm_alfheim_02,303002,0.1,5,10,303202,0.1,5,10,303401,0.1,5,10,306027,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
97,5,150,30,25,20,0,40,30,chapter_02_01,bgm_alfheim_01,303002,0.1,5,10,303102,0.1,5,10,303301,0.1,5,10,306052,0.5,10,15,306040,0.12,5,10,306042,0.08,5,5,,,,,,,,,,,,,,,,,15,20
98,5,150,20,10,20,0,20,20,chapter_02_02,bgm_alfheim_02,303002,0.1,5,10,303102,0.1,5,10,303301,0.1,5,10,306051,0.5,10,15,306040,0.12,5,10,306042,0.08,5,5,,,,,,,,,,,,,,,,,15,20
99,5,150,20,10,20,0,20,20,chapter_02_01,bgm_alfheim_01,303000,0.1,5,10,303102,0.1,5,10,303301,0.1,5,10,306050,0.5,10,15,306040,0.12,5,10,306042,0.08,5,5,,,,,,,,,,,,,,,,,15,20
100,5,150,50,60,153,0,80,50,chapter_02_03,bgm_alfheim_03,303000,0.1,5,10,303202,0.1,5,10,303301,0.1,5,10,306026,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
101,5,150,50,60,40,0,20,20,chapter_03_01,bgm_svartalfheim_01,303000,0.1,5,10,303301,0.1,5,10,303401,0.1,5,10,306051,0.5,10,15,306040,0.12,5,10,306042,0.08,5,5,,,,,,,,,,,,,,,,,15,20
102,5,150,50,60,40,0,20,20,chapter_03_01,bgm_svartalfheim_01,303302,1,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10
103,5,150,50,60,40,0,20,20,chapter_03_02,bgm_svartalfheim_02,303002,0.1,5,10,303102,0.1,5,10,303302,0.1,5,10,306050,0.5,10,15,306040,0.12,5,10,306042,0.08,5,5,,,,,,,,,,,,,,,,,15,20
104,5,150,50,60,40,0,20,20,chapter_03_01,bgm_svartalfheim_01,303202,0.1,5,10,303302,0.1,5,10,303401,0.1,5,10,306003,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
105,5,150,50,60,40,0,20,20,chapter_03_01,bgm_svartalfheim_01,303202,0.1,5,10,303302,0.1,5,10,303401,0.1,5,10,306013,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
106,5,150,50,60,40,0,20,20,chapter_03_02,bgm_svartalfheim_02,303002,0.1,5,10,303102,0.1,5,10,303401,0.1,5,10,306004,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
107,5,150,50,60,40,0,20,20,chapter_03_01,bgm_svartalfheim_01,303102,0.1,5,10,303302,0.1,5,10,303401,0.1,5,10,306014,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
108,5,150,200,180,100,0,50,90,chapter_03_02,bgm_svartalfheim_02,303002,0.1,5,10,303302,0.1,5,10,303401,0.1,5,10,306052,0.5,10,15,306040,0.12,5,10,306042,0.08,5,5,,,,,,,,,,,,,,,,,15,20
109,5,150,50,60,40,0,20,20,chapter_03_01,bgm_svartalfheim_01,303002,0.1,5,10,303102,0.1,5,10,303401,0.1,5,10,306005,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
110,5,150,50,60,40,0,20,20,chapter_03_03,bgm_svartalfheim_03,303002,0.1,5,10,303302,0.1,5,10,303401,0.1,5,10,306027,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
111,5,150,50,60,40,0,20,20,chapter_03_01,bgm_svartalfheim_01,303100,0.1,5,10,303202,0.1,5,10,303302,0.1,5,10,306026,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
112,5,150,50,60,40,0,20,20,chapter_03_01,bgm_svartalfheim_01,303100,0.1,5,10,303202,0.1,5,10,303302,0.1,5,10,306028,0.5,10,15,306040,0.12,5,10,306041,0.08,5,5,,,,,,,,,,,,,,,,,15,20
113,5,150,50,60,40,0,20,20,chapter_03_02,bgm_svartalfheim_02,303102,0.1,5,10,303302,0.1,5,10,303401,0.1,5,10,306012,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
114,5,150,50,60,40,0,20,20,chapter_03_01,bgm_svartalfheim_01,303001,0.1,5,10,303302,0.1,5,10,303401,0.1,5,10,306014,0.5,10,15,306040,0.12,5,10,306043,0.08,5,5,,,,,,,,,,,,,,,,,15,20
115,5,150,50,60,40,0,20,20,chapter_03_01,bgm_svartalfheim_01,303001,0.1,5,10,303202,0.1,5,10,303302,0.1,5,10,306051,0.5,10,15,306040,0.12,5,10,306042,0.08,5,5,,,,,,,,,,,,,,,,,15,20
116,5,150,50,60,40,0,20,20,chapter_03_02,bgm_svartalfheim_02,303002,0.1,5,10,303302,0.1,5,10,303401,0.1,5,10,306004,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
117,5,150,50,60,40,0,20,20,chapter_03_01,bgm_svartalfheim_01,303402,1,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10
118,5,150,50,60,40,0,20,20,chapter_03_02,bgm_svartalfheim_02,303002,0.1,5,10,303302,0.1,5,10,303402,0.1,5,10,306050,0.5,10,15,306040,0.12,5,10,306042,0.08,5,5,,,,,,,,,,,,,,,,,15,20
119,5,150,50,60,40,0,20,20,chapter_03_01,bgm_svartalfheim_01,303102,0.1,5,10,303202,0.1,5,10,303402,0.1,5,10,306005,0.5,10,15,306040,0.12,5,10,306044,0.08,5,5,,,,,,,,,,,,,,,,,15,20
