level,exp,exp_need
154,3020,20
155,3040,20
156,3060,20
157,3080,20
158,3100,20
159,3120,20
160,3140,20
161,3160,20
162,3180,20
163,3200,20
164,3220,20
165,3240,20
166,3260,20
167,3280,20
168,3300,20
169,3320,20
170,3340,20
171,3360,20
172,3380,20
173,3400,20
174,3420,20
175,3440,20
176,3460,20
177,3480,20
178,3500,20
179,3520,20
180,3540,20
181,3560,20
182,3580,20
183,3600,20
184,3620,20
185,3640,20
186,3660,20
187,3680,20
188,3700,20
189,3720,20
190,3740,20
191,3760,20
192,3780,20
193,3800,20
194,3820,20
195,3840,20
196,3860,20
197,3880,20
198,3900,20
199,3920,20
200,3940,20
201,3960,60
202,4020,60
203,4080,60
204,4140,60
205,4200,60
206,4260,60
207,4320,60
208,4380,60
209,4440,60
210,4500,60
211,4560,60
212,4620,60
213,4680,60
214,4740,60
215,4800,60
216,4860,60
217,4920,60
218,4980,60
219,5040,60
220,5100,60
221,5160,60
222,5220,60
223,5280,60
224,5340,60
225,5400,60
226,5460,60
227,5520,60
228,5580,60
229,5640,60
230,5700,60
231,5760,60
232,5820,60
233,5880,60
234,5940,60
235,6000,60
236,6060,60
237,6120,60
238,6180,60
239,6240,60
240,6300,60
241,6360,60
242,6420,60
243,6480,60
244,6540,60
245,6600,60
246,6660,60
247,6720,60
248,6780,60
249,6840,60
250,6900,60
251,6960,60
252,7020,60
253,7080,60
254,7140,60
255,7200,60
256,7260,60
257,7320,60
258,7380,60
259,7440,60
260,7500,60
261,7560,60
262,7620,60
263,7680,60
264,7740,60
265,7800,60
266,7860,60
267,7920,60
268,7980,60
269,8040,60
270,8100,60
271,8160,60
272,8220,60
273,8280,60
274,8340,60
275,8400,60
276,8460,60
277,8520,60
278,8580,60
279,8640,60
280,8700,60
281,8760,60
282,8820,60
283,8880,60
284,8940,60
285,9000,60
286,9060,60
287,9120,60
288,9180,60
289,9240,60
290,9300,60
291,9360,60
292,9420,60
293,9480,60
294,9540,60
295,9600,60
296,9660,60
297,9720,60
298,9780,60
299,9840,60
300,9900,120
301,10020,120
302,10140,120
303,10260,120
304,10380,120
305,10500,120
306,10620,120
307,10740,120
308,10860,120
309,10980,120
310,11100,120
311,11220,120
312,11340,120
313,11460,120
314,11580,120
315,11700,120
316,11820,120
317,11940,120
318,12060,120
319,12180,120
320,12300,120
321,12420,120
322,12540,120
323,12660,120
324,12780,120
325,12900,120
326,13020,120
327,13140,120
328,13260,120
329,13380,120
330,13500,120
331,13620,120
332,13740,120
333,13860,120
334,13980,120
335,14100,120
336,14220,120
337,14340,120
338,14460,120
339,14580,120
340,14700,120
341,14820,120
342,14940,120
343,15060,120
344,15180,120
345,15300,120
346,15420,120
347,15540,120
348,15660,120
349,15780,120
350,15900,120
351,16020,120
352,16140,120
353,16260,120
354,16380,120
355,16500,120
356,16620,120
357,16740,120
358,16860,120
359,16980,120
360,17100,120
361,17220,120
362,17340,120
363,17460,120
364,17580,120
365,17700,120
366,17820,120
367,17940,120
368,18060,120
369,18180,120
370,18300,120
371,18420,120
372,18540,120
373,18660,120
374,18780,120
375,18900,120
376,19020,120
377,19140,120
378,19260,120
379,19380,120
380,19500,120
381,19620,120
382,19740,120
383,19860,120
384,19980,120
385,20100,120
386,20220,120
387,20340,120
388,20460,120
389,20580,120
390,20700,120
391,20820,120
392,20940,120
393,21060,120
394,21180,120
395,21300,120
396,21420,120
397,21540,120
398,21660,120
399,21780,120
400,21900,120
401,22020,200
402,22220,200
403,22420,200
404,22620,200
405,22820,200
406,23020,200
407,23220,200
408,23420,200
409,23620,200
410,23820,200
411,24020,200
412,24220,200
413,24420,200
414,24620,200
415,24820,200
416,25020,200
417,25220,200
418,25420,200
419,25620,200
420,25820,200
421,26020,200
422,26220,200
423,26420,200
424,26620,200
425,26820,200
426,27020,200
427,27220,200
428,27420,200
429,27620,200
430,27820,200
431,28020,200
432,28220,200
433,28420,200
434,28620,200
435,28820,200
436,29020,200
437,29220,200
438,29420,200
439,29620,200
440,29820,200
441,30020,200
442,30220,200
443,30420,200
444,30620,200
445,30820,200
446,31020,200
447,31220,200
448,31420,200
449,31620,200
450,31820,200
451,32020,200
452,32220,200
453,32420,200
454,32620,200
455,32820,200
456,33020,200
457,33220,200
458,33420,200
459,33620,200
460,33820,200
461,34020,200
462,34220,200
463,34420,200
464,34620,200
465,34820,200
466,35020,200
467,35220,200
468,35420,200
469,35620,200
470,35820,200
471,36020,200
472,36220,200
473,36420,200
474,36620,200
475,36820,200
476,37020,200
477,37220,200
478,37420,200
479,37620,200
480,37820,200
481,38020,200
482,38220,200
483,38420,200
484,38620,200
485,38820,200
486,39020,200
487,39220,200
488,39420,200
489,39620,200
490,39820,200
491,40020,200
492,40220,200
493,40420,200
494,40620,200
495,40820,200
496,41020,200
497,41220,200
498,41420,200
499,41620,200
500,41820,200
