id,adventure_boss_id,floor,turn_limit,hp_additional,atk_additional,def_additional,cri_additional,hit_additional,spd_additional,background,bgm,reward_1_type,reward_1_id,reward_1_min,reward_1_max,reward_1_ratio,reward_2_type,reward_2_id,reward_2_min,reward_2_max,reward_2_ratio,reward_3_type,reward_3_id,reward_3_min,reward_3_max,reward_3_ratio,min_drop_item,max_drop_item,stage_buff_skill_id
11,1,11,150,6800,90000,7000,0,35300,6000,chapter_01_01,bgm_yggdrasil_01,Material,600303,4,5,60,Material,600203,2,2,10,Rune,10037,4,5,30,4,6,401001
12,1,12,150,24300,303600,21200,0,155000,22000,chapter_01_01,bgm_yggdrasil_01,Material,600303,4,5,60,Material,600203,2,2,10,Rune,10038,4,5,30,4,6,401002
13,1,13,150,36450,500400,31800,0,232500,33000,chapter_01_02,bgm_yggdrasil_02,Material,600303,4,5,60,Material,600203,2,2,10,Rune,10037,4,5,30,4,6,401002
14,1,14,150,72900,900800,63600,0,465000,66000,chapter_01_02,bgm_yggdrasil_02,Material,600303,4,5,60,Material,600203,2,2,10,Rune,10038,4,5,30,4,6,401002
15,1,15,150,123930,1337360,108120,0,790500,112200,chapter_01_03,bgm_yggdrasil_03,Material,600303,4,5,60,Material,600203,2,2,10,Rune,10037,4,5,30,4,6,401002
16,1,16,150,123930,1337360,108120,0,790500,112200,chapter_01_01,bgm_yggdrasil_01,Material,600304,4,5,60,Material,600203,2,2,10,Rune,10038,4,5,30,4,6,401002
17,1,17,150,285039,2397928,248676,0,1818150,258060,chapter_01_01,bgm_yggdrasil_01,Material,600304,4,5,60,Material,600203,2,2,10,Rune,10037,4,5,30,4,6,401003
18,1,18,150,427558,3446892,373014,0,2727225,387090,chapter_01_02,bgm_yggdrasil_02,Material,600304,4,5,60,Material,600203,2,2,10,Rune,10038,4,5,30,4,6,401003
19,1,19,150,855116,6653784,746028,0,5454450,774180,chapter_01_02,bgm_yggdrasil_02,Material,600304,4,5,60,Material,600203,2,2,10,Rune,10037,4,5,30,4,6,401003
20,1,20,150,1453697,11099431,1268247,0,9272565,1316106,chapter_01_03,bgm_yggdrasil_03,Material,600304,4,5,60,Material,600203,2,2,10,Rune,10038,4,5,30,4,6,401003
21,2,1,150,50,120,450,0,80,50,chapter_01_01,bgm_yggdrasil_01,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10037,2,2,30,2,6,401004
22,2,2,150,100,150,280,0,20,100,chapter_01_01,bgm_yggdrasil_01,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10038,2,2,30,2,6,401004
23,2,3,150,273,500,100,0,437,364,chapter_01_02,bgm_yggdrasil_02,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10037,2,2,30,2,6,401004
24,2,4,150,600,900,1600,0,1400,898,chapter_01_02,bgm_yggdrasil_02,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10038,2,2,30,2,6,401004
25,2,5,150,1350,5500,11000,0,2525,2525,chapter_01_03,bgm_yggdrasil_03,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10037,2,2,30,2,6,401004
26,2,6,150,1350,5500,11000,0,2525,2525,chapter_01_01,bgm_yggdrasil_01,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10038,2,2,30,4,6,401004
27,2,7,150,1600,7500,11000,0,8000,3159,chapter_01_01,bgm_yggdrasil_01,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10037,2,2,30,4,6,401005
28,2,8,150,5000,9550,15000,0,10000,3841,chapter_01_02,bgm_yggdrasil_02,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10038,2,2,30,4,6,401005
29,2,9,150,8500,13800,80000,0,16500,4300,chapter_01_02,bgm_yggdrasil_02,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10037,2,2,30,4,6,401005
30,2,10,150,30000,80000,240000,0,35300,6000,chapter_01_03,bgm_yggdrasil_03,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10038,2,2,30,4,6,401005
31,2,11,150,30000,80000,240000,0,35300,6000,chapter_01_01,bgm_yggdrasil_01,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401005
32,2,12,150,90300,303600,540000,0,155000,22000,chapter_01_01,bgm_yggdrasil_01,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401006
33,2,13,150,140450,450400,780000,0,232500,33000,chapter_01_02,bgm_yggdrasil_02,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401006
34,2,14,150,265450,850800,1490000,0,465000,66000,chapter_01_02,bgm_yggdrasil_02,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401006
35,2,15,150,420930,1337360,2430000,0,790500,112200,chapter_01_03,bgm_yggdrasil_03,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401006
36,2,16,150,420930,1337360,2430000,0,790500,112200,chapter_01_01,bgm_yggdrasil_01,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401006
37,2,17,150,1505039,2807928,6000000,0,1818150,258060,chapter_01_01,bgm_yggdrasil_01,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401007
38,2,18,150,2227558,3946892,8600000,0,2727225,387090,chapter_01_02,bgm_yggdrasil_02,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401007
39,2,19,150,4057558,8053784,16600000,0,5454450,774180,chapter_01_02,bgm_yggdrasil_02,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401007
40,2,20,150,6557558,13099431,27400000,0,9272565,1316106,chapter_01_03,bgm_yggdrasil_03,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401007
41,3,1,150,0,90,0,0,80,300,chapter_01_01,bgm_yggdrasil_01,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10037,2,2,30,2,6,401008
42,3,2,150,0,120,0,0,20,300,chapter_01_01,bgm_yggdrasil_01,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10038,2,2,30,2,6,401008
43,3,3,150,80,370,0,0,437,364,chapter_01_02,bgm_yggdrasil_02,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10037,2,2,30,2,6,401008
44,3,4,150,400,700,0,0,1400,898,chapter_01_02,bgm_yggdrasil_02,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10038,2,2,30,2,6,401008
45,3,5,150,1350,4300,1350,0,2525,4500,chapter_01_03,bgm_yggdrasil_03,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10037,2,2,30,2,6,401008
46,3,6,150,1350,4300,1350,0,2525,4500,chapter_01_01,bgm_yggdrasil_01,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10038,2,2,30,4,6,401008
47,3,7,150,1500,4000,1500,0,8000,4500,chapter_01_01,bgm_yggdrasil_01,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10037,2,2,30,4,6,401009
48,3,8,150,3500,12700,2000,0,10000,13000,chapter_01_02,bgm_yggdrasil_02,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10038,2,2,30,4,6,401009
49,3,9,150,12000,18000,6000,0,16500,18000,chapter_01_02,bgm_yggdrasil_02,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10037,2,2,30,4,6,401009
50,3,10,150,40000,45000,10000,0,35300,30000,chapter_01_03,bgm_yggdrasil_03,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10038,2,2,30,4,6,401009
51,3,11,150,40000,45000,10000,0,35300,30000,chapter_01_01,bgm_yggdrasil_01,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401009
52,3,12,150,120300,133600,21200,0,155000,74000,chapter_01_01,bgm_yggdrasil_01,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401010
53,3,13,150,190450,200400,40000,0,232500,120000,chapter_01_02,bgm_yggdrasil_02,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401010
54,3,14,150,355450,380800,80600,0,465000,208000,chapter_01_02,bgm_yggdrasil_02,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401010
55,3,15,150,450930,607360,308120,0,790500,340000,chapter_01_03,bgm_yggdrasil_03,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401010
56,3,16,150,450930,607360,308120,0,790500,340000,chapter_01_01,bgm_yggdrasil_01,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401010
57,3,17,150,1105039,807928,508676,0,1818150,750000,chapter_01_01,bgm_yggdrasil_01,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401011
58,3,18,150,1527558,1146892,663014,0,2727225,1080000,chapter_01_02,bgm_yggdrasil_02,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401011
59,3,19,150,3557558,2253784,926028,0,5454450,2100000,chapter_01_02,bgm_yggdrasil_02,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401011
60,3,20,150,5557558,3599431,1574247,0,9272565,3400000,chapter_01_03,bgm_yggdrasil_03,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401011
61,4,1,150,0,0,0,0,80,50,chapter_01_01,bgm_yggdrasil_01,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10037,2,2,30,2,6,401012
62,4,2,150,0,0,0,0,20,100,chapter_01_01,bgm_yggdrasil_01,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10038,2,2,30,2,6,401012
63,4,3,150,80,0,0,0,437,364,chapter_01_02,bgm_yggdrasil_02,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10037,2,2,30,2,6,401012
64,4,4,150,400,0,0,0,1400,898,chapter_01_02,bgm_yggdrasil_02,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10038,2,2,30,2,6,401012
65,4,5,150,1600,200,500,0,2525,2525,chapter_01_03,bgm_yggdrasil_03,Material,600301,2,3,60,Material,600201,1,1,10,Rune,10037,2,2,30,2,6,401012
66,4,6,150,1600,200,500,0,2525,2525,chapter_01_01,bgm_yggdrasil_01,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10038,2,2,30,4,6,401012
67,4,7,150,2000,220,800,0,8000,3159,chapter_01_01,bgm_yggdrasil_01,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10037,2,2,30,4,6,401013
68,4,8,150,3500,250,800,0,10000,3841,chapter_01_02,bgm_yggdrasil_02,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10038,2,2,30,4,6,401013
69,4,9,150,15000,500,4000,0,16500,4300,chapter_01_02,bgm_yggdrasil_02,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10037,2,2,30,4,6,401013
70,4,10,150,40000,3000,6000,0,35300,6000,chapter_01_03,bgm_yggdrasil_03,Material,600302,2,3,60,Material,600202,1,1,10,Rune,10038,2,2,30,4,6,401013
71,4,11,150,40000,3000,10000,0,35300,6000,chapter_01_01,bgm_yggdrasil_01,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401013
72,4,12,150,120300,8500,21200,0,155000,22000,chapter_01_01,bgm_yggdrasil_01,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401014
73,4,13,150,190450,13000,40000,0,232500,33000,chapter_01_02,bgm_yggdrasil_02,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401014
74,4,14,150,355450,24000,80600,0,465000,66000,chapter_01_02,bgm_yggdrasil_02,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401014
75,4,15,150,500930,39000,308120,0,790500,112200,chapter_01_03,bgm_yggdrasil_03,Material,600303,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401014
76,4,16,150,500930,39000,308120,0,790500,112200,chapter_01_01,bgm_yggdrasil_01,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401014
77,4,17,150,1105039,54000,508676,0,1818150,258060,chapter_01_01,bgm_yggdrasil_01,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401015
78,4,18,150,1527558,77000,663014,0,2727225,387090,chapter_01_02,bgm_yggdrasil_02,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401015
79,4,19,150,3557558,150000,926028,0,5454450,774180,chapter_01_02,bgm_yggdrasil_02,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10037,3,3,30,4,6,401015
80,4,20,150,5557558,242000,1574247,0,9272565,1316106,chapter_01_03,bgm_yggdrasil_03,Material,600304,2,3,60,Material,600203,1,1,10,Rune,10038,3,3,30,4,6,401015
